cc,effective_year,region_name,region_code,country_name,country_code,reporting_year,reporting_level,survey_acronym,survey_coverage,survey_year,welfare_type,survey_comparability,comparable_spell,poverty_line,headcount,poverty_gap,poverty_severity,watts,mean,median,mld,gini,polarization,decile1,decile2,decile3,decile4,decile5,decile6,decile7,decile8,decile9,decile10,cpi,ppp,reporting_pop,reporting_gdp,reporting_pce,is_interpolated,distribution_type,estimation_type
AZE,2019,Europe & Central Asia,ECA,Azerbaijan,AZE,2019,national,,,,consumption,,,2.15,0,0,0,0,19.7505,16.3746,,,,,,,,,,,,,,,0.487,10024283,5348.4541,,TRUE,micro,extrapolation
BDI,2019,Sub-Saharan Africa,SSA,Burundi,BDI,2019,national,,,,consumption,,,2.15,0.7186,0.3041,0.1603,0.4509,2.0184,1.4988,,,,,,,,,,,,,,,654.4216,11874838,270.1373,207.1296,TRUE,micro,extrapolation
BEL,2019,Other High Income Countries,OHI,Belgium,BEL,2019,national,,,,income,,,2.15,8e-04,6e-04,6e-04,3e-04,58.9865,52.6285,,,,,,,,,,,,,,,0.8453,11488980,43107.2148,22164.8884,FALSE,micro,survey
BEN,2019,Sub-Saharan Africa,SSA,Benin,BEN,2019,national,,,,consumption,,,2.15,0.1933,0.0453,0.0158,0.0568,4.7459,3.5472,,,,,,,,,,,,,,,219.4763,12290444,1153.7262,787.1982,TRUE,micro,extrapolation
BFA,2019,Sub-Saharan Africa,SSA,Burkina Faso,BFA,2019,national,,,,consumption,,,2.15,0.3069,0.0809,0.0304,0.1038,4.345,2.9247,,,,,,,,,,,,,,,199.7414,20951639,716.0122,459.4514,TRUE,micro,extrapolation
BGD,2019,South Asia,SAS,Bangladesh,BGD,2019,national,,,,consumption,,,2.15,0.1125,0.02,0.0056,0.0239,4.702,3.8028,,,,,,,,,,,,,,,29.5141,165516222,1575.6559,1081.9091,TRUE,micro,interpolation
BGR,2019,Europe & Central Asia,ECA,Bulgaria,BGR,2019,national,,,,income,,,2.15,0.0092,0.0035,0.0018,0.005,27.4294,20.8615,,,,,,,,,,,,,,,0.7354,6975761,8242.314,5205.7981,FALSE,micro,survey
BHR,2019,"","","","",,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",""
BHS,2019,"","","","",,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",""
BIH,2019,Europe & Central Asia,ECA,Bosnia and Herzegovina,BIH,2019,national,,,,consumption,,,2.15,6e-04,1e-04,0,1e-04,26.3434,21.8874,,,,,,,,,,,,,,,0.7819,3360711,5558.0826,4194.3972,TRUE,micro,extrapolation
BLR,2019,Europe & Central Asia,ECA,Belarus,BLR,2019,national,,,,consumption,,,2.15,0,0,0,0,19.1325,17.1343,,,,,,,,,,,,,,,6165.2094,9419758,6267.7658,3425.8628,FALSE,micro,survey
BLZ,2019,Latin America & Caribbean,LAC,Belize,BLZ,2019,national,,,,income,,,2.15,0.1826,0.0803,0.0495,0.1264,8.0582,4.7844,,,,,,,,,,,,,,,1.309,389095,5907.3489,3519.5142,TRUE,micro,extrapolation
BMU,2019,"","","","",,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",""
BOL,2019,Latin America & Caribbean,LAC,Bolivia,BOL,2019,national,,,,income,,,2.15,0.0192,0.006,0.0028,0.0079,19.6077,14.6929,,,,,,,,,,,,,,,2.6119,11777315,3242.9488,2244.932,FALSE,micro,survey
BRA,2019,Latin America & Caribbean,LAC,Brazil,BRA,2019,national,,,,income,,,2.15,0.0539,0.0211,0.0116,0.0274,21.1151,12.8877,,,,,,,,,,,,,,,2.3274,211782878,8592.2102,5605.5095,FALSE,micro,survey
BRB,2019,"","","","",,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",""
BRN,2019,"","","","",,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",""
BTN,2019,South Asia,SAS,Bhutan,BTN,2019,national,,,,consumption,,,2.15,0.0043,7e-04,2e-04,8e-04,13.5325,11.1228,,,,,,,,,,,,,,,20.4738,767459,3219.6414,1829.0473,TRUE,micro,interpolation
BWA,2019,Sub-Saharan Africa,SSA,Botswana,BWA,2019,national,,,,consumption,,,2.15,0.1337,0.0352,0.0139,0.0462,9.3453,5.1275,,,,,,,,,,,,,,,5.0087,2499702,6485.4604,2815.3277,TRUE,micro,extrapolation
CAF,2019,Sub-Saharan Africa,SSA,Central African Republic,CAF,2019,national,,,,consumption,,,2.15,0.6499,0.2981,0.1707,0.4714,2.3371,1.5808,,,,,,,,,,,,,,,306.8083,5209324,381.414,466.0255,TRUE,micro,interpolation
CAN,2019,Other High Income Countries,OHI,Canada,CAN,2019,national,,,,income,,,2.15,0.0025,6e-04,2e-04,7e-04,65.7328,56.113,,,,,,,,,,,,,,,1.2867,37601230,45113.0663,26398.3959,FALSE,micro,survey
CHE,2019,Other High Income Countries,OHI,Switzerland,CHE,2019,national,,,,income,,,2.15,3e-04,2e-04,1e-04,4e-04,77.4839,64.6636,,,,,,,,,,,,,,,1.3586,8575280,87123.6604,44823.3901,TRUE,micro,extrapolation
CHI,2019,"","","","",,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",""
CHL,2019,Latin America & Caribbean,LAC,Chile,CHL,2019,national,,,,income,,,2.15,0.0058,0.0034,0.0027,0.003,27.0133,18.1061,,,,,,,,,,,,,,,478.9957,19039485,13761.3745,8799.0632,TRUE,micro,interpolation
CHN-R,2019,East Asia & Pacific,EAP,China,CHN,2019,rural,,,,consumption,,,2.15,0.0026,5e-04,2e-04,6e-04,9.9159,8.0993,,,,,,,,,,,,,,,3.495,558762145,10155.5114,4083.1129,FALSE,aggregate,survey
CHN-U,2019,East Asia & Pacific,EAP,China,CHN,2019,urban,,,,consumption,,,2.15,6e-04,1e-04,1e-04,2e-04,16.9772,13.3395,,,,,,,,,,,,,,,4.3185,848982855,10155.5114,4083.1129,FALSE,aggregate,survey
CIV,2019,Sub-Saharan Africa,SSA,Cote d'Ivoire,CIV,2019,national,,,,consumption,,,2.15,0.1078,0.0224,0.0073,0.0277,5.7669,4.4315,,,,,,,,,,,,,,,247.1344,26147551,2252.5433,1428.7855,TRUE,micro,extrapolation
CMR,2019,Sub-Saharan Africa,SSA,Cameroon,CMR,2019,national,,,,consumption,,,2.15,0.2315,0.0728,0.0322,0.0994,6.1216,4.1384,,,,,,,,,,,,,,,236.9115,25782341,1454.5641,1070.3983,TRUE,micro,extrapolation
COD,2019,Sub-Saharan Africa,SSA,"Congo, Dem. Rep.",COD,2019,national,,,,consumption,,,2.15,0.6287,0.2747,0.1524,0.4242,2.3365,1.6835,,,,,,,,,,,,,,,630.6055,89906890,494.8192,362.7961,TRUE,micro,extrapolation
COG,2019,Sub-Saharan Africa,SSA,"Congo, Rep.",COG,2019,national,,,,consumption,,,2.15,0.5025,0.2195,0.1246,0.3439,3.2916,2.1366,,,,,,,,,,,,,,,285.9693,5570733,1731.7999,758.3223,TRUE,micro,extrapolation
COL,2019,Latin America & Caribbean,LAC,Colombia,COL,2019,national,,,,income,,,2.15,0.0528,0.0205,0.0122,0.0263,15.5424,9.6152,,,,,,,,,,,,,,,1419.3743,50187406,6404.1088,4460.1382,FALSE,micro,survey
COM,2019,Sub-Saharan Africa,SSA,Comoros,COM,2019,national,,,,consumption,,,2.15,0.1793,0.0627,0.0297,0.0888,6.6409,4.5375,,,,,,,,,,,,,,,213.5182,790986,1381.6222,1302.6061,TRUE,micro,extrapolation
CPV,2019,Sub-Saharan Africa,SSA,Cabo Verde,CPV,2019,national,,,,consumption,,,2.15,0.027,0.0054,0.0017,0.0067,11.0674,7.8351,,,,,,,,,,,,,,,47.6121,577030,3690.6565,2430.3797,TRUE,micro,extrapolation
CRI,2019,Latin America & Caribbean,LAC,Costa Rica,CRI,2019,national,,,,income,,,2.15,0.0106,0.0042,0.0025,0.0048,25.5309,16.2318,,,,,,,,,,,,,,,372.6693,5084532,12662.4229,8185.9077,FALSE,micro,survey
CUB,2019,"","","","",,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",""
CUW,2019,"","","","",,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",""
CYM,2019,"","","","",,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",""
CYP,2019,Other High Income Countries,OHI,Cyprus,CYP,2019,national,,,,income,,,2.15,0.0015,0.0015,0.0015,0,51.5746,43.1973,,,,,,,,,,,,,,,0.6682,1228836,28360.0312,18283.6816,FALSE,micro,survey
CZE,2019,Europe & Central Asia,ECA,Czech Republic,CZE,2019,national,,,,income,,,2.15,0,0,0,0,39.3665,34.5639,,,,,,,,,,,,,,,13.6514,10671870,20206.4256,9536.6521,FALSE,micro,survey
DEU,2019,Other High Income Countries,OHI,Germany,DEU,2019,national,,,,income,,,2.15,0,0,0,0,65.8802,55.5203,,,,,,,,,,,,,,,0.7872,83092962,43284.6025,22938.5767,FALSE,micro,survey
DJI,2019,Middle East & North Africa,MNA,Djibouti,DJI,2019,national,,,,consumption,,,2.15,0.1773,0.0594,0.0287,0.0866,5.6307,4.2254,,,,,,,,,,,,,,,104.7365,1073994,2820.0629,1827.1634,TRUE,micro,extrapolation
DMA,2019,"","","","",,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",""
DNK,2019,Other High Income Countries,OHI,Denmark,DNK,2019,national,,,,income,,,2.15,0.0025,0.0021,0.0019,0.0041,62.7364,54.0781,,,,,,,,,,,,,,,7.891,5814422,57203.0278,27010.256,FALSE,micro,survey
DOM,2019,Latin America & Caribbean,LAC,Dominican Republic,DOM,2019,national,,,,income,,,2.15,0.0083,0.0023,0.0013,0.0021,16.4693,11.8024,,,,,,,,,,,,,,,24.3906,10881882,8205.1426,5673.9275,FALSE,micro,survey
DZA,2019,Middle East & North Africa,MNA,Algeria,DZA,2019,national,,,,consumption,,,2.15,0.0032,0.0012,0.001,9e-04,10.3991,9.0641,,,,,,,,,,,,,,,38.2097,42705368,4153.0034,1764.5954,TRUE,group,extrapolation
ECU,2019,Latin America & Caribbean,LAC,Ecuador,ECU,2019,national,,,,income,,,2.15,0.0358,0.0109,0.0049,0.0147,15.3802,10.6785,,,,,,,,,,,,,,,0.5745,17343740,5863.9106,3644.6061,FALSE,micro,survey
EGY,2019,Middle East & North Africa,MNA,"Egypt, Arab Rep.",EGY,2019,national,,,,consumption,,,2.15,0.0189,0.0031,9e-04,0.0038,6.5445,5.2538,,,,,,,,,,,,,,,4.8435,105618671,3802.41,2958.1693,TRUE,micro,interpolation
ERI,2019,"","","","",,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",""
ESP,2019,Other High Income Countries,OHI,Spain,ESP,2019,national,,,,income,,,2.15,0.0079,0.0057,0.0047,0.0081,46.8662,40.2915,,,,,,,,,,,,,,,0.7029,47134837,28087.8979,16133.6231,FALSE,micro,survey
EST,2019,Europe & Central Asia,ECA,Estonia,EST,2019,national,,,,income,,,2.15,0.0056,0.0033,0.0029,0.0077,41.0067,34.645,,,,,,,,,,,,,,,0.5964,1326898,20269.5751,10398.8172,FALSE,micro,survey
ETH,2019,Sub-Saharan Africa,SSA,Ethiopia,ETH,2019,national,,,,consumption,,,2.15,0.1789,0.0488,0.0189,0.0632,4.4437,3.6389,,,,,,,,,,,,,,,8.4964,114120594,797.8853,544.9121,TRUE,micro,extrapolation
FIN,2019,Other High Income Countries,OHI,Finland,FIN,2019,national,,,,income,,,2.15,4e-04,4e-04,4e-04,1.0337e-06,58.8479,51.2622,,,,,,,,,,,,,,,0.9333,5521606,46135.8814,24465.0783,FALSE,micro,survey
FJI,2019,East Asia & Pacific,EAP,Fiji,FJI,2019,national,,,,consumption,,,2.15,0.0106,0.0015,4e-04,0.0017,8.2387,6.8939,,,,,,,,,,,,,,,0.9859,918465,5678.9699,,TRUE,micro,interpolation
FRA,2019,Other High Income Countries,OHI,France,FRA,2019,national,,,,income,,,2.15,5e-04,2e-04,1e-04,3e-04,56.189,48.5685,,,,,,,,,,,,,,,0.8354,67388001,38832.0242,20764.6107,FALSE,micro,survey
FRO,2019,"","","","",,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",""
FSM,2019,East Asia & Pacific,EAP,"Micronesia, Fed. Sts.",FSM,2019,national,,,,consumption,,,2.15,0.1526,0.0545,0.0291,0.0852,5.8221,4.428,,,,,,,,,,,,,,,0.9772,111379,2967.0022,,TRUE,micro,extrapolation
GAB,2019,Sub-Saharan Africa,SSA,Gabon,GAB,2019,national,,,,consumption,,,2.15,0.0247,0.0058,0.0023,0.0078,12.3368,9.6731,,,,,,,,,,,,,,,319.1603,2242785,6893.3231,2506.3412,TRUE,micro,extrapolation
GBR,2019,Other High Income Countries,OHI,United Kingdom,GBR,2019,national,,,,income,,,2.15,0.005,0.0025,0.0023,0.0082,55.1567,47.0616,,,,,,,,,,,,,,,0.7797,66836327,47491.5946,30920.5374,FALSE,micro,survey
GEO,2019,Europe & Central Asia,ECA,Georgia,GEO,2019,national,,,,consumption,,,2.15,0.0485,0.0114,0.0041,0.0146,7.9745,6.4294,,,,,,,,,,,,,,,0.9247,3720161,4773.3357,3532.3452,FALSE,micro,survey
GHA,2019,Sub-Saharan Africa,SSA,Ghana,GHA,2019,national,,,,consumption,,,2.15,0.2213,0.0792,0.041,0.1204,5.595,4.1094,,,,,,,,,,,,,,,1.751,31522290,1981.6139,1383.7097,TRUE,micro,extrapolation
GIB,2019,"","","","",,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",""
GIN,2019,Sub-Saharan Africa,SSA,Guinea,GIN,2019,national,,,,consumption,,,2.15,0.1336,0.0293,0.0098,0.0367,4.4625,3.8585,,,,,,,,,,,,,,,3446.9322,12877539,937.7031,718.613,TRUE,micro,extrapolation
GMB,2019,Sub-Saharan Africa,SSA,"Gambia, The",GMB,2019,national,,,,consumption,,,2.15,0.1495,0.0382,0.0146,0.0494,5.2721,3.99,,,,,,,,,,,,,,,15.1142,2508883,668.6351,563.8173,TRUE,micro,interpolation
GNB,2019,Sub-Saharan Africa,SSA,Guinea-Bissau,GNB,2019,national,,,,consumption,,,2.15,0.2099,0.0451,0.0145,0.0552,4.2559,3.3527,,,,,,,,,,,,,,,232.1995,1970457,633.7257,516.7659,TRUE,micro,extrapolation
GNQ,2019,"","","","",,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",""
GRC,2019,Other High Income Countries,OHI,Greece,GRC,2019,national,,,,income,,,2.15,0.0069,0.0042,0.0034,0.0048,28.48,24.6129,,,,,,,,,,,,,,,0.6463,10721582,19018.9021,13165.8536,FALSE,micro,survey
GRD,2019,"","","","",,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",""
GRL,2019,"","","","",,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",""
GTM,2019,Latin America & Caribbean,LAC,Guatemala,GTM,2019,national,,,,income,,,2.15,0.0699,0.0201,0.0091,0.0276,10.6186,6.9692,,,,,,,,,,,,,,,4.4033,16604026,4263.7084,3680.3284,TRUE,micro,extrapolation
GUM,2019,"","","","",,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",""
GUY,2019,Latin America & Caribbean,LAC,Guyana,GUY,2019,national,,,,income,,,2.15,0.0616,0.037,0.0292,0.0975,14.1933,10.2422,,,,,,,,,,,,,,,115.6263,798753,6348.6981,,TRUE,micro,extrapolation
HKG,2019,"","","","",,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",""
HND,2019,Latin America & Caribbean,LAC,Honduras,HND,2019,national,,,,income,,,2.15,0.1274,0.043,0.0217,0.0602,10.1239,6.9277,,,,,,,,,,,,,,,10.8388,9958829,2446.1081,1973.4915,FALSE,micro,survey
HRV,2019,Europe & Central Asia,ECA,Croatia,HRV,2019,national,,,,income,,,2.15,0.0026,0.0016,0.0013,0.0015,29.0816,26.1209,,,,,,,,,,,,,,,3.8147,4065253,14211.7554,8305.2544,FALSE,micro,survey
HTI,2019,Latin America & Caribbean,LAC,Haiti,HTI,2019,national,,,,consumption,,,2.15,0.2502,0.0814,0.0372,0.1138,4.7284,3.5677,,,,,,,,,,,,,,,31.1029,11160438,1371.707,1441.4871,TRUE,micro,extrapolation
HUN,2019,Europe & Central Asia,ECA,Hungary,HUN,2019,national,,,,income,,,2.15,0.003,0.0013,7e-04,0.0019,28.2687,24.7641,,,,,,,,,,,,,,,147.3767,9771141,15083.5992,7623.8063,FALSE,micro,survey
IDN-R,2019,East Asia & Pacific,EAP,Indonesia,IDN,2019,rural,,,,consumption,,,2.15,0.0589,0.0079,0.0017,0.009,5.824,4.8255,,,,,,,,,,,,,,,4746.8516,118656904,3892.4217,2236.778,FALSE,micro,survey
IDN-U,2019,East Asia & Pacific,EAP,Indonesia,IDN,2019,urban,,,,consumption,,,2.15,0.0319,0.004,8e-04,0.0045,8.5269,6.3138,,,,,,,,,,,,,,,5098.1961,150925974,3892.4217,2236.778,FALSE,micro,survey
IMN,2019,"","","","",,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",""
IND-R,2019,South Asia,SAS,India,IND,2019,rural,,,,consumption,,,2.15,0.1257,0.023,0.0066,0.0275,4.5196,3.6505,,,,,,,,,,,,,,,17.092,906325664,1931.0207,1149.6868,TRUE,imputed,interpolation
IND-U,2019,South Asia,SAS,India,IND,2019,urban,,,,consumption,,,2.15,0.0999,0.0213,0.007,0.0264,6.0371,4.6556,,,,,,,,,,,,,,,20.7873,476786386,1931.0207,1149.6868,TRUE,imputed,interpolation
IRL,2019,Other High Income Countries,OHI,Ireland,IRL,2019,national,,,,income,,,2.15,6e-04,3e-04,2e-04,5e-04,55.8337,46.4123,,,,,,,,,,,,,,,0.9707,4934340,75239.3029,22186.4542,FALSE,micro,survey
IRN,2019,Middle East & North Africa,MNA,"Iran, Islamic Rep.",IRN,2019,national,,,,consumption,,,2.15,0.0095,0.0019,7e-04,0.0025,14.5719,10.5939,,,,,,,,,,,,,,,13944.9043,86564202,5059.8794,2530.2857,TRUE,micro,interpolation
IRQ,2019,Middle East & North Africa,MNA,Iraq,IRQ,2019,national,,,,consumption,,,2.15,2e-04,0,8.9336e-06,0,12.5802,10.7027,,,,,,,,,,,,,,,586.4968,41563520,4854.3865,,TRUE,micro,extrapolation
ISL,2019,Other High Income Countries,OHI,Iceland,ISL,2019,national,,,,income,,,2.15,0,0,0,0,63.9718,57.4161,,,,,,,,,,,,,,,155.6479,360563,57461.802,29667.6889,TRUE,micro,extrapolation
ISR,2019,Other High Income Countries,OHI,Israel,ISR,2019,national,,,,income,,,2.15,0.005,0.0016,0.001,0.0026,41.8123,34.2144,,,,,,,,,,,,,,,4.2066,9054000,39591.3688,21076.2633,TRUE,micro,extrapolation
ITA,2019,Other High Income Countries,OHI,Italy,ITA,2019,national,,,,income,,,2.15,0.0099,0.0084,0.0076,0.0082,49.8979,42.6229,,,,,,,,,,,,,,,0.7672,59729081,32114.2999,19429.6139,FALSE,micro,survey
JAM,2019,Latin America & Caribbean,LAC,Jamaica,JAM,2019,national,,,,consumption,,,2.15,0.011,0.0024,7e-04,0.0029,15.4071,10.0807,,,,,,,,,,,,,,,70.3916,2813773,5307.511,4214.8787,TRUE,micro,extrapolation
JOR,2019,Middle East & North Africa,MNA,Jordan,JOR,2019,national,,,,consumption,,,2.15,0.001,2e-04,1e-04,2e-04,13.5932,10.7561,,,,,,,,,,,,,,,0.3292,10698683,3909.25,,TRUE,micro,extrapolation
JPN,2019,Other High Income Countries,OHI,Japan,JPN,2019,national,,,,income,,,2.15,0.0073,0.002,8e-04,0.0026,49.628,41.1911,,,,,,,,,,,,,,,113.0232,126633000,36043.7844,19619.9766,TRUE,micro,extrapolation
KAZ,2019,Europe & Central Asia,ECA,Kazakhstan,KAZ,2019,national,,,,consumption,,,2.15,2e-04,0,2.5728e-06,0,13.0132,10.9095,,,,,,,,,,,,,,,125.2634,18513673,11402.7584,6188.6384,TRUE,micro,extrapolation
KEN,2019,Sub-Saharan Africa,SSA,Kenya,KEN,2019,national,,,,consumption,,,2.15,0.3156,0.0865,0.0343,0.1135,3.8274,2.8933,,,,,,,,,,,,,,,41.6348,50951450,1653.829,1252.9846,TRUE,micro,interpolation
KGZ,2019,Europe & Central Asia,ECA,Kyrgyz Republic,KGZ,2019,national,,,,consumption,,,2.15,0.0066,0.0016,9e-04,0.0028,7.0922,5.8372,,,,,,,,,,,,,,,19.3727,6456200,1226.8243,1046.9191,FALSE,micro,survey
KHM,2019,"","","","",,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",""
KIR,2019,East Asia & Pacific,EAP,Kiribati,KIR,2019,national,,,,consumption,,,2.15,0.0181,0.0032,9e-04,0.0038,6.2648,5.3335,,,,,,,,,,,,,,,0.981,124241,1405.4692,1327.3395,TRUE,micro,interpolation
KNA,2019,"","","","",,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",""
KOR,2019,Other High Income Countries,OHI,"Korea, Rep.",KOR,2019,national,,,,income,,,2.15,0.0023,5e-04,1e-04,6e-04,46.2939,40.2473,,,,,,,,,,,,,,,974.2056,51764822,31640.2146,15269.1918,TRUE,micro,extrapolation
KSV,2019,"","","","",,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",""
KWT,2019,"","","","",,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",""
LAO,2019,East Asia & Pacific,EAP,Lao PDR,LAO,2019,national,,,,consumption,,,2.15,0.0662,0.0106,0.0029,0.0126,6.6662,4.8631,,,,,,,,,,,,,,,3133.8118,7212053,2564.0197,,TRUE,micro,extrapolation
LBN,2019,Middle East & North Africa,MNA,Lebanon,LBN,2019,national,,,,consumption,,,2.15,0,0,0,0,29.6548,25.157,,,,,,,,,,,,,,,761.8333,5781907,8081.7433,7478.5607,TRUE,micro,extrapolation
LBR,2019,Sub-Saharan Africa,SSA,Liberia,LBR,2019,national,,,,consumption,,,2.15,0.3057,0.0846,0.0336,0.1106,3.7053,2.9534,,,,,,,,,,,,,,,47.996,4985289,644.1621,,TRUE,micro,extrapolation
LBY,2019,"","","","",,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",""
LCA,2019,Latin America & Caribbean,LAC,St. Lucia,LCA,2019,national,,,,income,,,2.15,0.0475,0.0266,0.019,0.0333,20.9339,13.6152,,,,,,,,,,,,,,,2.0792,178583,11060.6889,,TRUE,micro,extrapolation
LIE,2019,"","","","",,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",""
LKA,2019,South Asia,SAS,Sri Lanka,LKA,2019,national,,,,consumption,,,2.15,0.0096,0.0012,2e-04,0.0013,9.2485,6.913,,,,,,,,,,,,,,,55.5009,21803000,4458.4344,2776.5782,FALSE,micro,survey
LSO,2019,Sub-Saharan Africa,SSA,Lesotho,LSO,2019,national,,,,consumption,,,2.15,0.3445,0.1256,0.0628,0.1833,4.4442,3.0987,,,,,,,,,,,,,,,5.244,2225702,1040.2187,835.9343,TRUE,micro,extrapolation
LTU,2019,Europe & Central Asia,ECA,Lithuania,LTU,2019,national,,,,income,,,2.15,0.0055,0.0035,0.003,0.0029,38.3872,30.7122,,,,,,,,,,,,,,,0.4884,2794137,17249.7184,10639.5826,FALSE,micro,survey
LUX,2019,Other High Income Countries,OHI,Luxembourg,LUX,2019,national,,,,income,,,2.15,0.001,9e-04,8e-04,0.0014,84.4537,69.4506,,,,,,,,,,,,,,,0.9658,620001,106729.0249,35225.8554,FALSE,micro,survey
LVA,2019,Europe & Central Asia,ECA,Latvia,LVA,2019,national,,,,income,,,2.15,0.0024,0.0018,0.0015,0.0029,32.9305,26.9349,,,,,,,,,,,,,,,0.5538,1913822,16069.8404,9342.1888,FALSE,micro,survey
MAC,2019,"","","","",,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",""
MAF,2019,"","","","",,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",""
MAR,2019,Middle East & North Africa,MNA,Morocco,MAR,2019,national,,,,consumption,,,2.15,0.01,0.0018,5e-04,0.0021,11.3877,8.3125,,,,,,,,,,,,,,,4.2908,36304408,3355.613,1955.6167,TRUE,micro,extrapolation
MCO,2019,"","","","",,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",""
MDA,2019,Europe & Central Asia,ECA,Moldova,MDA,2019,national,,,,consumption,,,2.15,3e-04,3.1388e-06,3.4393e-08,3.1561e-06,12.1181,10.5156,,,,,,,,,,,,,,,6.3825,2664224,3439.1296,2976.7248,FALSE,micro,survey
MDG,2019,Sub-Saharan Africa,SSA,Madagascar,MDG,2019,national,,,,consumption,,,2.15,0.7875,0.4027,0.2443,0.6588,1.6895,1.1883,,,,,,,,,,,,,,,962.9596,27533134,478.927,337.9674,TRUE,micro,extrapolation
MDV,2019,South Asia,SAS,Maldives,MDV,2019,national,,,,consumption,,,2.15,0,0,0,0,22.6101,19.1262,,,,,,,,,,,,,,,9.7936,504508,10753.1213,4936.2987,TRUE,micro,interpolation
