cc,effective_year,region_name,region_code,country_name,country_code,reporting_year,reporting_level,survey_acronym,survey_coverage,survey_year,welfare_type,survey_comparability,comparable_spell,poverty_line,headcount,poverty_gap,poverty_severity,watts,mean,median,mld,gini,polarization,decile1,decile2,decile3,decile4,decile5,decile6,decile7,decile8,decile9,decile10,cpi,ppp,reporting_pop,reporting_gdp,reporting_pce,is_interpolated,distribution_type,estimation_type
IND-U,2000,South Asia,SAS,India,IND,2000,urban,,,,consumption,,,1.606,0.1247,0.024,0.0073,0.0295,3.882,2.9702,,,,,,,,,,,,,,,20.7873,293168849,751.8408,486.1858,TRUE,micro,interpolation
NGA,2000,Sub-Saharan Africa,SSA,Nigeria,NGA,2000,national,,,,consumption,,,1.384,0.3792,0.1455,0.0765,0.2188,2.6221,1.784,,,,,,,,,,,,,,,123.6724,122851984,1462.5363,943.2116,TRUE,micro,interpolation
NAM,2000,Sub-Saharan Africa,SSA,Namibia,NAM,2000,national,,,,consumption,,,1.29,0.175,0.0513,0.0221,0.0699,6.3817,2.5801,,,,,,,,,,,,,,,6.8983,1819141,3082.7592,1651.3702,TRUE,micro,extrapolation
CHN-U,2000,East Asia & Pacific,EAP,China,CHN,2000,urban,,,,consumption,,,1.029,0.0062,0.0018,0.0011,0.0018,5.087,4.2564,,,,,,,,,,,,,,,4.3185,452999147,2193.897,818.4512,TRUE,aggregate,interpolation
UGA,2000,Sub-Saharan Africa,SSA,Uganda,UGA,2000,national,,,,consumption,,,1.281,0.3885,0.1238,0.0554,0.1705,2.233,1.5494,,,,,,,,,,,,,,,1221.0876,24020697,513.9242,415.1023,TRUE,micro,interpolation
SEN,2000,Sub-Saharan Africa,SSA,Senegal,SEN,2000,national,,,,consumption,,,1.331,0.2356,0.059,0.0214,0.0751,2.8956,2.045,,,,,,,,,,,,,,,238.5777,9704287,1076.8923,796.8464,TRUE,mixed,interpolation
TCD,2000,Sub-Saharan Africa,SSA,Chad,TCD,2000,national,,,,consumption,,,1.71,0.5723,0.229,0.117,0.3364,2.0108,1.4791,,,,,,,,,,,,,,,237.6564,8259137,379.3515,,TRUE,micro,extrapolation
CPV,2000,Sub-Saharan Africa,SSA,Cabo Verde,CPV,2000,national,,,,consumption,,,1.673,0.1207,0.0329,0.0135,0.0442,7.1561,4.1346,,,,,,,,,,,,,,,47.6121,458251,2015.3814,,TRUE,micro,extrapolation
IDN-U,2000,East Asia & Pacific,EAP,Indonesia,IDN,2000,urban,,,,consumption,,,1.359,0.0574,0.0086,0.0021,0.01,3.4283,2.7791,,,,,,,,,,,,,,,5098.1961,89914698,1845.2278,1172.2687,FALSE,micro,survey
STP,2000,Sub-Saharan Africa,SSA,Sao Tome and Principe,STP,2000,national,,,,consumption,,,1.251,0.0324,0.0039,7e-04,0.0043,4.1433,3.4204,,,,,,,,,,,,,,,11.4289,143714,1061.3788,,TRUE,micro,extrapolation
VUT,2000,East Asia & Pacific,EAP,Vanuatu,VUT,2000,national,,,,consumption,,,1.513,0.0566,0.0113,0.0037,0.014,5.2641,4.0987,,,,,,,,,,,,,,,117.3665,192074,2731.6067,,TRUE,micro,extrapolation
COG,2000,Sub-Saharan Africa,SSA,"Congo, Rep.",COG,2000,national,,,,consumption,,,2.028,0.4872,0.1906,0.0968,0.277,3.2556,2.0777,,,,,,,,,,,,,,,285.9693,3134030,2057.7672,710.3277,TRUE,micro,extrapolation
NPL,2000,South Asia,SAS,Nepal,NPL,2000,national,,,,consumption,,,1.452,0.1737,0.038,0.0124,0.0468,3.42,2.4406,,,,,,,,,,,,,,,30.5129,24559500,554.8583,,TRUE,micro,interpolation
MOZ,2000,Sub-Saharan Africa,SSA,Mozambique,MOZ,2000,national,,,,consumption,,,1.516,0.6974,0.3257,0.1883,0.5171,1.6769,1.0264,,,,,,,,,,,,,,,21.988,17768505,293.7089,203.9444,TRUE,micro,interpolation
HTI,2000,Latin America & Caribbean,LAC,Haiti,HTI,2000,national,,,,income,,,1.798,0.6073,0.3178,0.2091,0.5983,2.7051,1.383,,,,,,,,,,,,,,,31.1029,8360225,1326.6698,1318.8299,TRUE,micro,extrapolation
BDI,2000,Sub-Saharan Africa,SSA,Burundi,BDI,2000,national,,,,consumption,,,1.806,0.7112,0.3162,0.1816,0.5143,1.6793,1.2747,,,,,,,,,,,,,,,654.4216,6307659,310.0067,211.5453,TRUE,micro,interpolation
LBN,2000,Middle East & North Africa,MNA,Lebanon,LBN,2000,national,,,,consumption,,,1.098,0,0,0,0,20.6587,17.5254,,,,,,,,,,,,,,,761.8333,4320642,5970.9745,5209.8689,TRUE,micro,extrapolation
SSD,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN-R,2000,East Asia & Pacific,EAP,Indonesia,IDN,2000,rural,,,,consumption,,,1.643,0.2701,0.0519,0.0154,0.0626,2.3318,2.0724,,,,,,,,,,,,,,,4746.8516,124157723,1845.2278,1172.2687,FALSE,micro,survey
UKR,2000,Europe & Central Asia,ECA,Ukraine,UKR,2000,national,,,,consumption,,,2.394,0.0649,0.0148,0.0055,0.019,6.4174,5.4125,,,,,,,,,,,,,,,7.0057,49176500,1420.1167,570.5428,TRUE,micro,interpolation
TGO,2000,Sub-Saharan Africa,SSA,Togo,TGO,2000,national,,,,consumption,,,1.839,0.4788,0.1689,0.0783,0.2346,2.7516,1.901,,,,,,,,,,,,,,,246.5965,5008035,675.465,582.1407,TRUE,micro,extrapolation
ARM,2000,Europe & Central Asia,ECA,Armenia,ARM,2000,national,,,,consumption,,,1.927,0.0996,0.0206,0.0068,0.0258,5.0277,3.889,,,,,,,,,,,,,,,167.3122,3168523,1249.6121,1283.5634,TRUE,micro,interpolation
GMB,2000,Sub-Saharan Africa,SSA,"Gambia, The",GMB,2000,national,,,,consumption,,,1.7,0.4349,0.1701,0.0901,0.2625,3.0032,1.9271,,,,,,,,,,,,,,,15.1142,1437539,667.9654,,TRUE,micro,interpolation
ZWE,2000,Sub-Saharan Africa,SSA,Zimbabwe,ZWE,2000,national,,,,consumption,,,2.135,0.1009,0.0169,0.004,0.0194,7.3864,5.1393,,,,,,,,,,,,,,,0.485,11834676,1676.5155,,TRUE,group,extrapolation
ROU,2000,Europe & Central Asia,ECA,Romania,ROU,2000,national,,,,consumption,,,2.701,0.1257,0.0288,0.01,0.0363,5.6455,4.9285,,,,,,,,,,,,,,,1.805,22442971,4567.2401,2219.0299,FALSE,micro,survey
TLS,2000,East Asia & Pacific,EAP,Timor-Leste,TLS,2000,national,,,,consumption,,,2.132,0.4801,0.1535,0.0667,0.2065,2.8537,2.2234,,,,,,,,,,,,,,,0.5748,878360,948.0283,853.3955,TRUE,micro,extrapolation
LAO,2000,East Asia & Pacific,EAP,Lao PDR,LAO,2000,national,,,,consumption,,,1.208,0.0436,0.0079,0.0026,0.0099,3.3712,2.6634,,,,,,,,,,,,,,,3133.8118,5430853,917.2887,575.7665,TRUE,micro,interpolation
VNM,2000,East Asia & Pacific,EAP,Vietnam,VNM,2000,national,,,,consumption,,,1.721,0.163,0.0345,0.0111,0.0424,3.7885,2.8239,,,,,,,,,,,,,,,7807.6123,79001142,1183.8541,682.2032,TRUE,micro,interpolation
BGD,2000,South Asia,SAS,Bangladesh,BGD,2000,national,,,,consumption,,,2.158,0.3345,0.0741,0.0238,0.0909,3.4174,2.6614,,,,,,,,,,,,,,,29.5141,129193327,656.0528,543.9203,FALSE,micro,survey
KEN,2000,Sub-Saharan Africa,SSA,Kenya,KEN,2000,national,,,,consumption,,,1.403,0.1307,0.0339,0.0136,0.0459,4.6147,3.1034,,,,,,,,,,,,,,,41.6348,30851606,1187.3258,913.8085,TRUE,micro,interpolation
SLE,2000,Sub-Saharan Africa,SSA,Sierra Leone,SLE,2000,national,,,,consumption,,,2.388,0.7416,0.3828,0.2484,,2.0456,1.3841,,,,,,,,,,,,,,,2128.5188,4584067,400.5989,295.6139,TRUE,mixed,interpolation
AFG,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,2000,Sub-Saharan Africa,SSA,Guinea,GIN,2000,national,,,,consumption,,,1.715,0.3898,0.1317,0.0606,0.1835,3.1596,2.1724,,,,,,,,,,,,,,,3446.9322,8336967,620.9045,,TRUE,micro,interpolation
BTN,2000,South Asia,SAS,Bhutan,BTN,2000,national,,,,consumption,,,2.048,0.2015,0.0419,0.0123,0.0501,4.9573,3.5052,,,,,,,,,,,,,,,20.4738,587207,1115.6253,533.5193,TRUE,micro,extrapolation
SDN,2000,Sub-Saharan Africa,SSA,Sudan,SDN,2000,national,,,,consumption,,,2.349,0.3015,0.0934,0.0413,0.1285,4.0121,3.2381,,,,,,,,,,,,,,,6.464,26298773,1906.3811,1347.8693,TRUE,micro,extrapolation
BWA,2000,Sub-Saharan Africa,SSA,Botswana,BWA,2000,national,,,,consumption,,,2.323,0.3177,0.123,0.0632,0.183,9.0192,3.7152,,,,,,,,,,,,,,,5.0087,1726985,4917.1127,1485.438,TRUE,mixed,interpolation
TUN,2000,Middle East & North Africa,MNA,Tunisia,TUN,2000,national,,,,consumption,,,2.194,0.0473,0.009,0.0028,0.0111,9.0621,6.7109,,,,,,,,,,,,,,,0.7423,9893316,2827.3788,1239.1279,FALSE,group,survey
CAF,2000,Sub-Saharan Africa,SSA,Central African Republic,CAF,2000,national,,,,consumption,,,2.439,0.7705,0.4787,0.3504,1.0069,2.1657,1.1346,,,,,,,,,,,,,,,306.8083,3759170,445.8033,,TRUE,mixed,interpolation
PHL,2000,East Asia & Pacific,EAP,Philippines,PHL,2000,national,,,,consumption,,,2.248,0.169,0.0373,0.0121,0.0459,5.9141,4.0263,,,,,,,,,,,,,,,19.3925,77958223,1831.6992,1382.889,FALSE,micro,survey
KGZ,2000,Europe & Central Asia,ECA,Kyrgyz Republic,KGZ,2000,national,,,,consumption,,,2.478,0.5052,0.1465,0.0588,0.1918,3.0151,2.4645,,,,,,,,,,,,,,,19.3727,4898400,718.3373,493.8288,FALSE,micro,survey
NIC,2000,Latin America & Caribbean,LAC,Nicaragua,NIC,2000,national,,,,consumption,,,2.004,0.1612,0.044,0.0175,0.0577,5.7613,4.0339,,,,,,,,,,,,,,,11.5284,5123222,1429.7285,1056.2532,TRUE,micro,interpolation
MMR,2000,East Asia & Pacific,EAP,Myanmar,MMR,2000,national,,,,consumption,,,2.373,0.8557,0.4213,0.2443,0.6591,1.6726,1.2433,,,,,,,,,,,,,,,389.8429,45538332,326.9931,,TRUE,micro,extrapolation
DZA,2000,Middle East & North Africa,MNA,Algeria,DZA,2000,national,,,,consumption,,,2.368,0.0697,0.0146,0.005,0.0182,6.7624,5.5942,,,,,,,,,,,,,,,38.2097,30774621,3138.23,1085.4154,TRUE,group,interpolation
ETH,2000,Sub-Saharan Africa,SSA,Ethiopia,ETH,2000,national,,,,consumption,,,2.164,0.5541,0.162,0.0647,0.2118,2.4285,2.0333,,,,,,,,,,,,,,,8.4964,67031867,265.3271,,TRUE,micro,interpolation
LKA,2000,South Asia,SAS,Sri Lanka,LKA,2000,national,,,,consumption,,,1.823,0.0582,0.0095,0.0025,0.0112,5.5907,4.0347,,,,,,,,,,,,,,,55.5009,18776371,2011.9805,1321.2423,TRUE,micro,interpolation
COM,2000,Sub-Saharan Africa,SSA,Comoros,COM,2000,national,,,,consumption,,,2.562,0.2112,0.0651,0.0283,0.0892,8.6317,4.6218,,,,,,,,,,,,,,,213.5182,536758,1202.1314,1137.7618,TRUE,micro,extrapolation
TJK,2000,Europe & Central Asia,ECA,Tajikistan,TJK,2000,national,,,,consumption,,,2.134,0.4492,0.1356,0.0591,0.1859,2.654,2.2571,,,,,,,,,,,,,,,2.5948,6272998,430.341,539.9799,TRUE,micro,interpolation
ZAF,2000,Sub-Saharan Africa,SSA,South Africa,ZAF,2000,national,,,,consumption,,,1.903,0.3222,0.1149,0.0519,0.163,6.5257,3.1476,,,,,,,,,,,,,,,6.5494,46813266,4735.6655,2811.5279,TRUE,group,interpolation
TON,2000,East Asia & Pacific,EAP,Tonga,TON,2000,national,,,,consumption,,,2.532,0.0409,0.0122,0.005,0.016,11.04,8.755,,,,,,,,,,,,,,,1.7136,102603,3561.2921,,TRUE,micro,extrapolation
COL,2000,Latin America & Caribbean,LAC,Colombia,COL,2000,national,,,,income,,,2.224,0.181,0.1151,0.0974,0.0673,10.0187,5.349,,,,,,,,,,,,,,,1419.3743,39215135,4003.9852,2804.4633,FALSE,micro,survey
SWZ,2000,Sub-Saharan Africa,SSA,Eswatini,SWZ,2000,national,,,,consumption,,,1.705,0.4957,0.1995,0.1094,0.3159,3.2341,1.7452,,,,,,,,,,,,,,,6.1177,1030496,2411.4449,1772.7155,TRUE,mixed,interpolation
MNG,2000,East Asia & Pacific,EAP,Mongolia,MNG,2000,national,,,,consumption,,,2.457,0.3102,0.0922,0.0389,0.1256,3.8282,3.2923,,,,,,,,,,,,,,,873.542,2450979,1557.4384,,TRUE,mixed,interpolation
LCA,2000,Latin America & Caribbean,LAC,St. Lucia,LCA,2000,national,,,,income,,,2.433,0.147,0.0535,0.0288,0.0766,8.3043,5.9481,,,,,,,,,,,,,,,2.0792,159500,9163.3009,,TRUE,mixed,interpolation
KIR,2000,East Asia & Pacific,EAP,Kiribati,KIR,2000,national,,,,consumption,,,2.56,0.1733,0.0513,0.0213,0.0688,5.8086,4.6537,,,,,,,,,,,,,,,0.981,88826,1477.0884,,TRUE,micro,extrapolation
YEM,2000,Middle East & North Africa,MNA,"Yemen, Rep.",YEM,2000,national,,,,consumption,,,2.217,0.0979,0.0207,0.0069,0.0258,6.0616,4.8519,,,,,,,,,,,,,,,255.6836,18628700,2227.6509,,TRUE,micro,interpolation
CHL,2000,Latin America & Caribbean,LAC,Chile,CHL,2000,national,,,,income,,,2.21,0.061,0.0231,0.014,0.0285,13.9555,8.1584,,,,,,,,,,,,,,,478.9957,15351799,8550.7117,4567.0167,FALSE,micro,survey
MRT,2000,Sub-Saharan Africa,SSA,Mauritania,MRT,2000,national,,,,consumption,,,2.452,0.2738,0.0835,0.0354,0.1121,4.8694,3.7024,,,,,,,,,,,,,,,124.4526,2695003,1265.1604,809.048,TRUE,micro,interpolation
WSM,2000,East Asia & Pacific,EAP,Samoa,WSM,2000,national,,,,consumption,,,2.456,0.0606,0.0115,0.0036,0.014,9.1334,6.5312,,,,,,,,,,,,,,,1.8513,184008,3002.8376,,TRUE,micro,extrapolation
DJI,2000,Middle East & North Africa,MNA,Djibouti,DJI,2000,national,,,,consumption,,,2.048,0.212,0.0626,0.027,0.0855,4.6828,3.5128,,,,,,,,,,,,,,,104.7365,742033,1594.4937,,TRUE,micro,extrapolation
KHM,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRN,2000,Middle East & North Africa,MNA,"Iran, Islamic Rep.",IRN,2000,national,,,,consumption,,,2.043,0.0281,0.005,0.0015,0.0061,11.5709,8.1526,,,,,,,,,,,,,,,13944.9043,65544383,3893.4647,1849.4318,TRUE,mixed,interpolation
SLV,2000,Latin America & Caribbean,LAC,El Salvador,SLV,2000,national,,,,income,,,2.518,0.1617,0.0676,0.0398,0.1093,10.6291,6.7117,,,,,,,,,,,,,,,0.515,5958482,2957.3719,2626.3875,FALSE,micro,survey
ALB,2000,Europe & Central Asia,ECA,Albania,ALB,2000,national,,,,consumption,,,2.528,0.0401,0.0068,0.002,0.0083,7.0915,5.9729,,,,,,,,,,,,,,,50.3574,3089027,1960.8825,1493.4626,TRUE,micro,interpolation
GUY,2000,Latin America & Caribbean,LAC,Guyana,GUY,2000,national,,,,income,,,3.091,0.1832,0.0848,0.057,0.1946,8.4691,6.1115,,,,,,,,,,,,,,,115.6263,759051,3788.25,,TRUE,micro,extrapolation
DOM,2000,Latin America & Caribbean,LAC,Dominican Republic,DOM,2000,national,,,,income,,,2.925,0.1121,0.0416,0.0219,0.0586,13.9435,8.4675,,,,,,,,,,,,,,,24.3906,8540791,4175.171,2977.4048,FALSE,micro,survey
PRY,2000,Latin America & Caribbean,LAC,Paraguay,PRY,2000,national,,,,income,,,2.257,0.1081,0.042,0.023,0.0629,14.1885,8.3121,,,,,,,,,,,,,,,2539.9849,5123819,4056.2303,2463.1193,TRUE,micro,interpolation
SOM,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PER,2000,Latin America & Caribbean,LAC,Peru,PER,2000,national,,,,income,,,2.879,0.2665,0.1131,0.0636,0.1788,7.7248,5.1944,,,,,,,,,,,,,,,1.8936,26654439,3279.3552,2142.1051,FALSE,micro,survey
ECU,2000,Latin America & Caribbean,LAC,Ecuador,ECU,2000,national,,,,income,,,2.043,0.2636,0.1084,0.0637,0.1537,6.5429,3.6239,,,,,,,,,,,,,,,0.5745,12626507,4227.5525,2599.4688,FALSE,micro,survey
GEO,2000,Europe & Central Asia,ECA,Georgia,GEO,2000,national,,,,consumption,,,2.458,0.2843,0.1032,0.0552,0.1643,4.7878,3.6759,,,,,,,,,,,,,,,0.9247,4077131,1566.5315,,FALSE,micro,survey
GNQ,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERI,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRQ,2000,Middle East & North Africa,MNA,Iraq,IRQ,2000,national,,,,consumption,,,5.77,0.0828,0.0145,0.0042,0.0173,12.5583,10.7109,,,,,,,,,,,,,,,586.4968,24628858,4138.1879,,TRUE,micro,extrapolation
MKD,2000,Europe & Central Asia,ECA,North Macedonia,MKD,2000,national,,,,consumption,,,3.285,0.1692,0.0491,0.0189,0.0641,7.5877,6.4688,,,,,,,,,,,,,,,22.1667,2026350,3283.3793,2352.1268,FALSE,micro,survey
SUR,2000,Latin America & Caribbean,LAC,Suriname,SUR,2000,urban,,,,income,,,2.727,0.2113,0.1508,0.1334,0.0836,13.118,8.1608,,,,,,,,,,,,,,,2.9343,318265,6098.0638,,TRUE,micro,extrapolation
PSE,2000,Middle East & North Africa,MNA,West Bank and Gaza,PSE,2000,national,,,,consumption,,,3.371,0.0297,0.0064,0.0023,0.0082,12.9695,10.4087,,,,,,,,,,,,,,,2.0663,2922153,2436.003,2268.624,TRUE,micro,extrapolation
MYS,2000,East Asia & Pacific,EAP,Malaysia,MYS,2000,national,,,,income,,,2.954,0.0541,0.0108,0.0034,0.0132,16.4231,10.7302,,,,,,,,,,,,,,,1.7269,22945150,6461.9809,2638.2338,TRUE,mixed,interpolation
KSV,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,2000,Latin America & Caribbean,LAC,Guatemala,GTM,2000,national,,,,income,,,2.204,0.1011,0.0361,0.0191,0.0542,11.8189,6.8622,,,,,,,,,,,,,,,4.4033,11589761,3195.3881,2591.625,FALSE,micro,survey
BRA,2000,Latin America & Caribbean,LAC,Brazil,BRA,2000,national,,,,income,,,2.985,0.2151,0.0894,0.052,0.1291,13.3456,6.8843,,,,,,,,,,,,,,,2.3274,175873720,6745.857,4042.6917,TRUE,micro,interpolation
DMA,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRD,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UZB,2000,Europe & Central Asia,ECA,Uzbekistan,UZB,2000,national,,,,consumption,,,2.02,0.7867,0.3575,0.1992,0.5537,1.5872,1.2577,,,,,,,,,,,,,,,1521.4752,24650400,1276.7603,,FALSE,micro,survey
CRI,2000,Latin America & Caribbean,LAC,Costa Rica,CRI,2000,national,,,,income,,,3.056,0.114,0.0506,0.0332,0.064,13.4951,9.1737,,,,,,,,,,,,,,,372.6693,3979193,7646.0274,4635.9891,FALSE,micro,survey
GAB,2000,Sub-Saharan Africa,SSA,Gabon,GAB,2000,national,,,,consumption,,,3.492,0.1678,0.0459,0.0183,0.0607,9.3291,6.6295,,,,,,,,,,,,,,,319.1603,1272935,7611.8357,2234.1659,TRUE,micro,extrapolation
KAZ,2000,Europe & Central Asia,ECA,Kazakhstan,KAZ,2000,national,,,,consumption,,,3.482,0.3605,0.1171,0.0533,0.1629,5.5261,4.4273,,,,,,,,,,,,,,,125.2634,14883626,4446.4519,2020.1667,TRUE,micro,interpolation
AGO,2000,Sub-Saharan Africa,SSA,Angola,AGO,2000,national,,,,consumption,,,3.456,0.3695,0.1663,0.1015,0.2859,7.3614,4.6563,,,,,,,,,,,,,,,107.27,16394062,1840.3538,,TRUE,micro,extrapolation
LBR,2000,Sub-Saharan Africa,SSA,Liberia,LBR,2000,national,,,,consumption,,,2.962,0.5669,0.2116,0.1091,0.321,3.3472,2.7099,,,,,,,,,,,,,,,47.996,2895224,763.4269,,TRUE,micro,extrapolation
VCT,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,2000,Latin America & Caribbean,LAC,Mexico,MEX,2000,national,,,,income,,,3.148,0.1679,0.0601,0.0303,0.0888,12.0176,7.1544,,,,,,,,,,,,,,,9.8615,97873442,8954.8232,5795.2486,FALSE,micro,survey
HND,2000,Latin America & Caribbean,LAC,Honduras,HND,2000,national,,,,income,,,5.216,0.4824,0.2471,0.1631,0.4227,9.3323,5.4556,,,,,,,,,,,,,,,10.8388,6656725,1768.2539,1310.5945,TRUE,micro,interpolation
THA,2000,East Asia & Pacific,EAP,Thailand,THA,2000,national,,,,consumption,,,3.453,0.2053,0.0474,0.0161,0.0589,8.5666,5.8048,,,,,,,,,,,,,,,13.2873,63066603,3511.4404,1899.6078,FALSE,micro,survey
BOL,2000,Latin America & Caribbean,LAC,Bolivia,BOL,2000,national,,,,income,,,3.767,0.3645,0.2166,0.163,0.4735,11.052,5.8186,,,,,,,,,,,,,,,2.6119,8592656,2017.3946,1472.74,FALSE,micro,survey
JAM,2000,Latin America & Caribbean,LAC,Jamaica,JAM,2000,national,,,,consumption,,,4.114,0.1194,0.0336,0.0144,0.0453,14.0722,9.4404,,,,,,,,,,,,,,,70.3916,2612205,4920.0708,,TRUE,micro,interpolation
