cc,effective_year,region_name,region_code,country_name,country_code,reporting_year,reporting_level,survey_acronym,survey_coverage,survey_year,welfare_type,survey_comparability,comparable_spell,poverty_line,headcount,poverty_gap,poverty_severity,watts,mean,median,mld,gini,polarization,decile1,decile2,decile3,decile4,decile5,decile6,decile7,decile8,decile9,decile10,cpi,ppp,reporting_pop,reporting_gdp,reporting_pce,is_interpolated,distribution_type,estimation_type,population,poor
BFA,2000,Sub-Saharan Africa,SSA,Burkina Faso,BFA,2000,national,,,,consumption,,,2.15,0.7416,0.3474,0.1995,0.5457,2.1436,1.3542,,,,,,,,,,,,,,,199.7414,11882888,429.8474,360.8064,TRUE,micro,interpolation,11608000,8608492.8
BGD,2000,South Asia,SAS,Bangladesh,BGD,2000,national,,,,consumption,,,2.15,0.3332,0.0732,0.0234,0.0896,3.4174,2.6614,,,,,,,,,,,,,,,29.5141,129193327,656.0528,543.9203,FALSE,micro,survey,131582000,43843122.4
BGR,2000,Europe & Central Asia,ECA,Bulgaria,BGR,2000,national,,,,consumption,,,2.15,0.0293,0.0065,0.0023,0.008,9.3995,8.0962,,,,,,,,,,,,,,,0.7354,8170172,3721.0514,2083.6228,TRUE,mixed,interpolation,7997000,234312.1
BHR,2000,Other High Income Countries,MEA,Bahrain,BHR,,,,,,,,,,0.00503872513993093,,,,,,,,,,,,,,,,,,,,,,,,,,regional,664000,3345.71349291414
BHS,2000,Other High Income Countries,LCN,"Bahamas, The",BHS,,,,,,,,,,0.00503872513993093,,,,,,,,,,,,,,,,,,,,,,,,,,regional,298000,1501.54009169942
BIH,2000,Europe & Central Asia,ECA,Bosnia and Herzegovina,BIH,2000,national,,,,consumption,,,2.15,0.0033,0.0014,7e-04,0.0021,12.9216,10.9579,,,,,,,,,,,,,,,0.7819,4179350,2554.5646,2202.8161,TRUE,micro,extrapolation,3766000,12427.8
BLR,2000,Europe & Central Asia,ECA,Belarus,BLR,2000,national,,,,consumption,,,2.15,0.1364,0.0352,0.014,0.0465,4.646,3.9803,,,,,,,,,,,,,,,6165.2094,9979610,2616.9275,823.4098,FALSE,micro,survey,9934000,1354997.6
BLZ,2000,Latin America & Caribbean,LAC,Belize,BLZ,2000,national,,,,income,,,2.15,0.1819,0.0795,0.049,0.125,8.121,4.8217,,,,,,,,,,,,,,,1.309,240406,5693.7415,3546.9468,TRUE,micro,extrapolation,247000,44929.3
BMU,2000,Other High Income Countries,NAC,Bermuda,BMU,,,,,,,,,,0.00503872513993093,,,,,,,,,,,,,,,,,,,,,,,,,,regional,64000,322.478408955579
BOL,2000,Latin America & Caribbean,LAC,Bolivia,BOL,2000,national,,,,income,,,2.15,0.2425,0.1511,0.113,0.309,11.052,5.8186,,,,,,,,,,,,,,,2.6119,8592656,2017.3946,1472.74,FALSE,micro,survey,8340000,2022450
BRA,2000,Latin America & Caribbean,LAC,Brazil,BRA,2000,national,,,,income,,,2.15,0.137,0.0551,0.0326,0.074,13.3456,6.8843,,,,,,,,,,,,,,,2.3274,175873720,6745.857,4042.6917,TRUE,micro,interpolation,175288000,24014456
BRB,2000,Other High Income Countries,LCN,Barbados,BRB,,,,,,,,,,0.00503872513993093,,,,,,,,,,,,,,,,,,,,,,,,,,regional,270000,1360.45578778135
BRN,2000,Other High Income Countries,EAS,Brunei Darussalam,BRN,,,,,,,,,,0.00503872513993093,,,,,,,,,,,,,,,,,,,,,,,,,,regional,333000,1677.895471597
BTN,2000,South Asia,SAS,Bhutan,BTN,2000,national,,,,consumption,,,2.15,0.2258,0.0499,0.0154,0.0604,4.9573,3.5052,,,,,,,,,,,,,,,20.4738,587207,1115.6253,533.5193,TRUE,micro,extrapolation,574000,129609.2
BWA,2000,Sub-Saharan Africa,SSA,Botswana,BWA,2000,national,,,,consumption,,,2.15,0.2897,0.1084,0.0544,0.1595,9.0192,3.7152,,,,,,,,,,,,,,,5.0087,1726985,4917.1127,1485.438,TRUE,mixed,interpolation,1729000,500891.3
CAF,2000,Sub-Saharan Africa,SSA,Central African Republic,CAF,2000,national,,,,consumption,,,2.15,0.7326,0.442,0.3187,0.9117,2.1657,1.1346,,,,,,,,,,,,,,,306.8083,3759170,445.8033,,TRUE,mixed,interpolation,3755000,2750913
CAN,2000,Other High Income Countries,OHI,Canada,CAN,2000,national,,,,income,,,2.15,0.0025,0.0015,9e-04,0.0022,50.6807,42.7534,,,,,,,,,,,,,,,1.2867,30685730,37923.4865,19185.6919,FALSE,micro,survey,30736000,76840
CHE,2000,Other High Income Countries,OHI,Switzerland,CHE,2000,national,,,,income,,,2.15,0,0,0,0,68.6738,55.2997,,,,,,,,,,,,,,,1.3586,7184250,73749.9388,40139.7646,FALSE,micro,survey,7168000,0
CHI,2000,Other High Income Countries,ECS,Channel Islands,CHI,,,,,,,,,,0.00503872513993093,,,,,,,,,,,,,,,,,,,,,,,,,,regional,148000,745.731320709777
CHL,2000,Latin America & Caribbean,LAC,Chile,CHL,2000,national,,,,income,,,2.15,0.0583,0.0221,0.0135,0.027,13.9555,8.1584,,,,,,,,,,,,,,,478.9957,15351799,8550.7117,4567.0167,FALSE,micro,survey,15263000,889832.9
CHN-R,2000,East Asia & Pacific,EAP,China,CHN,2000,rural,,,,consumption,,,2.15,0.5921,0.21,0.0962,0.295,2.4351,1.8763,,,,,,,,,,,,,,,3.495,809645853,2193.897,818.4512,TRUE,aggregate,interpolation,822822000,487192906.2
CHN-U,2000,East Asia & Pacific,EAP,China,CHN,2000,urban,,,,consumption,,,2.15,0.1092,0.0232,0.0081,0.0292,5.087,4.2564,,,,,,,,,,,,,,,4.3185,452999147,2193.897,818.4512,TRUE,aggregate,interpolation,460377000,50273168.4
CIV,2000,Sub-Saharan Africa,SSA,Cote d'Ivoire,CIV,2000,national,,,,consumption,,,2.15,0.2822,0.089,0.0394,0.1223,4.1641,3.0153,,,,,,,,,,,,,,,247.1344,16799670,1809.9208,,TRUE,micro,interpolation,16687000,4709071.4
CMR,2000,Sub-Saharan Africa,SSA,Cameroon,CMR,2000,national,,,,consumption,,,2.15,0.2969,0.0816,0.0326,0.1075,4.401,3.0508,,,,,,,,,,,,,,,236.9115,15091594,1137.6245,789.2694,TRUE,micro,interpolation,15274000,4534850.6
COD,2000,Sub-Saharan Africa,SSA,"Congo, Dem. Rep.",COD,2000,national,,,,consumption,,,2.15,0.9199,0.5965,0.4268,1.1289,0.969,0.6888,,,,,,,,,,,,,,,630.6055,48616317,339.9694,288.7382,TRUE,micro,extrapolation,47076000,43305212.4
COG,2000,Sub-Saharan Africa,SSA,"Congo, Rep.",COG,2000,national,,,,consumption,,,2.15,0.5147,0.2083,0.1081,0.3063,3.2556,2.0777,,,,,,,,,,,,,,,285.9693,3134030,2057.7672,710.3277,TRUE,micro,extrapolation,3225000,1659907.5
COL,2000,Latin America & Caribbean,LAC,Colombia,COL,2000,national,,,,income,,,2.15,0.175,0.113,0.0963,0.0638,10.0187,5.349,,,,,,,,,,,,,,,1419.3743,39215135,4003.9852,2804.4633,FALSE,micro,survey,40404000,7070700
COM,2000,Sub-Saharan Africa,SSA,Comoros,COM,2000,national,,,,consumption,,,2.15,0.1483,0.0429,0.0174,0.0576,8.6317,4.6218,,,,,,,,,,,,,,,213.5182,536758,1202.1314,1137.7618,TRUE,micro,extrapolation,542000,80378.6
CPV,2000,Sub-Saharan Africa,SSA,Cabo Verde,CPV,2000,national,,,,consumption,,,2.15,0.2071,0.0619,0.0269,0.0848,7.1561,4.1346,,,,,,,,,,,,,,,47.6121,458251,2015.3814,,TRUE,micro,extrapolation,435000,90088.5
CRI,2000,Latin America & Caribbean,LAC,Costa Rica,CRI,2000,national,,,,income,,,2.15,0.0693,0.0334,0.0241,0.0369,13.4951,9.1737,,,,,,,,,,,,,,,372.6693,3979193,7646.0274,4635.9891,FALSE,micro,survey,3925000,272002.5
CUB,2000,Latin America & Caribbean,LCN,Cuba,CUB,,,,,,,,,,0.134277984386955,,,,,,,,,,,,,,,,,,,,,,,,,,regional,11151000,1497333.80389893
CUW,2000,Other High Income Countries,LCN,Curacao,CUW,,,,,,,,,,0.00503872513993093,,,,,,,,,,,,,,,,,,,,,,,,,,regional,132000,665.111718470882
CYM,2000,Other High Income Countries,LCN,Cayman Islands,CYM,,,,,,,,,,0.00503872513993093,,,,,,,,,,,,,,,,,,,,,,,,,,regional,42000,211.626455877099
CYP,2000,Other High Income Countries,OHI,Cyprus,CYP,2000,national,,,,income,,,2.15,9e-04,7e-04,6e-04,3e-04,38.7167,32.8234,,,,,,,,,,,,,,,0.6682,948237,22383.8574,13663.8184,TRUE,micro,extrapolation,944000,849.6
CZE,2000,Europe & Central Asia,ECA,Czech Republic,CZE,2000,national,,,,income,,,2.15,0,0,0,0,23.8435,21.1383,,,,,,,,,,,,,,,13.6514,10255063,12312.4978,6134.9377,TRUE,micro,interpolation,10290000,0
DEU,2000,Other High Income Countries,OHI,Germany,DEU,2000,national,,,,income,,,2.15,0,0,0,0,55.4794,47.9798,,,,,,,,,,,,,,,0.7872,82211508,34490.0758,19513.3305,FALSE,micro,survey,81487000,0
DJI,2000,Middle East & North Africa,MNA,Djibouti,DJI,2000,national,,,,consumption,,,2.15,0.229,0.0701,0.0307,0.0962,4.6828,3.5128,,,,,,,,,,,,,,,104.7365,742033,1594.4937,,TRUE,micro,extrapolation,717000,164193
DMA,2000,Latin America & Caribbean,LCN,Dominica,DMA,,,,,,,,,,0.134277984386955,,,,,,,,,,,,,,,,,,,,,,,,,,regional,69000,9265.18092269989
DNK,2000,Other High Income Countries,OHI,Denmark,DNK,2000,national,,,,income,,,2.15,0,0,0,0,52.6258,47.4782,,,,,,,,,,,,,,,7.891,5339616,49241.928,22344.4012,FALSE,micro,survey,5341000,0
DOM,2000,Latin America & Caribbean,LAC,Dominican Republic,DOM,2000,national,,,,income,,,2.15,0.0671,0.024,0.0126,0.0318,13.9435,8.4675,,,,,,,,,,,,,,,24.3906,8540791,4175.171,2977.4048,FALSE,micro,survey,8563000,574577.3
DZA,2000,Middle East & North Africa,MNA,Algeria,DZA,2000,national,,,,consumption,,,2.15,0.0498,0.01,0.0035,0.0125,6.7624,5.5942,,,,,,,,,,,,,,,38.2097,30774621,3138.23,1085.4154,TRUE,group,interpolation,31184000,1552963.2
ECU,2000,Latin America & Caribbean,LAC,Ecuador,ECU,2000,national,,,,income,,,2.15,0.2843,0.1166,0.0684,0.167,6.5429,3.6239,,,,,,,,,,,,,,,0.5745,12626507,4227.5525,2599.4688,FALSE,micro,survey,12629000,3590424.7
EGY,2000,Middle East & North Africa,MNA,"Egypt, Arab Rep.",EGY,2000,national,,,,consumption,,,2.15,0.0148,0.0026,0.001,0.003,6.6396,5.2402,,,,,,,,,,,,,,,4.8435,71371371,2535.5545,1997.9772,TRUE,mixed,interpolation,69906000,1034608.8
ERI,2000,Sub-Saharan Africa,SSF,Eritrea,ERI,,,,,,,,,,0.563003440785219,,,,,,,,,,,,,,,,,,,,,,,,,,regional,3393000,1910270.67458425
ESP,2000,Other High Income Countries,OHI,Spain,ESP,2000,national,,,,income,,,2.15,0.0068,0.005,0.0039,0.0112,37.2212,30.9513,,,,,,,,,,,,,,,0.7029,40567864,23937.9686,14653.6436,FALSE,micro,survey,40904000,278147.2
EST,2000,Europe & Central Asia,ECA,Estonia,EST,2000,national,,,,consumption,,,2.15,0.0143,0.0029,0.001,0.0036,12.0784,9.6675,,,,,,,,,,,,,,,0.5964,1396985,9960.139,4583.3898,FALSE,micro,survey,1400000,20020
ETH,2000,Sub-Saharan Africa,SSA,Ethiopia,ETH,2000,national,,,,consumption,,,2.15,0.5501,0.1595,0.0635,0.2082,2.4285,2.0333,,,,,,,,,,,,,,,8.4964,67031867,265.3271,,TRUE,micro,interpolation,66537000,36602003.7
FIN,2000,Other High Income Countries,OHI,Finland,FIN,2000,national,,,,income,,,2.15,0,0,0,0,43.1821,37.3949,,,,,,,,,,,,,,,0.9333,5176209,37884.3913,18265.0686,FALSE,micro,survey,5188000,0
FJI,2000,East Asia & Pacific,EAP,Fiji,FJI,2000,national,,,,consumption,,,2.15,0.0195,0.0034,9e-04,0.004,9.5312,7.2156,,,,,,,,,,,,,,,0.9859,832509,4000.8547,,TRUE,micro,extrapolation,812000,15834
FRA,2000,Other High Income Countries,OHI,France,FRA,2000,national,,,,income,,,2.15,0,0,0,0,48.413,40.5889,,,,,,,,,,,,,,,0.8354,60921384,33592.4668,17585.3704,FALSE,micro,survey,59609000,0
FRO,2000,Other High Income Countries,ECS,Faroe Islands,FRO,,,,,,,,,,0.00503872513993093,,,,,,,,,,,,,,,,,,,,,,,,,,regional,47000,236.820081576754
FSM,2000,East Asia & Pacific,EAP,"Micronesia, Fed. Sts.",FSM,2000,national,,,,consumption,,,2.15,0.088,0.0212,0.0071,0.0264,7.7184,5.6813,,,,,,,,,,,,,,,0.9772,111709,2796.6803,,TRUE,micro,extrapolation,107000,9416
GAB,2000,Sub-Saharan Africa,SSA,Gabon,GAB,2000,national,,,,consumption,,,2.15,0.0458,0.01,0.0037,0.0129,9.3291,6.6295,,,,,,,,,,,,,,,319.1603,1272935,7611.8357,2234.1659,TRUE,micro,extrapolation,1231000,56379.8
GBR,2000,Other High Income Countries,OHI,United Kingdom,GBR,2000,national,,,,income,,,2.15,0.0025,0.0019,0.0014,0.0034,49.35,37.2497,,,,,,,,,,,,,,,0.7797,58892514,39187.5831,24477.3157,FALSE,micro,survey,58950000,147375
GEO,2000,Europe & Central Asia,ECA,Georgia,GEO,2000,national,,,,consumption,,,2.15,0.229,0.0815,0.0437,0.1302,4.7878,3.6759,,,,,,,,,,,,,,,0.9247,4077131,1566.5315,,FALSE,micro,survey,4722000,1081338
GHA,2000,Sub-Saharan Africa,SSA,Ghana,GHA,2000,national,,,,consumption,,,2.15,0.5256,0.2093,0.1102,0.3133,2.7645,2.0458,,,,,,,,,,,,,,,1.751,19665502,1020.1623,,TRUE,micro,interpolation,18939000,9954338.4
GIB,2000,Other High Income Countries,ECS,Gibraltar,GIB,,,,,,,,,,0.00503872513993093,,,,,,,,,,,,,,,,,,,,,,,,,,regional,31000,156.200479337859
GIN,2000,Sub-Saharan Africa,SSA,Guinea,GIN,2000,national,,,,consumption,,,2.15,0.5065,0.1965,0.0988,0.2851,3.1596,2.1724,,,,,,,,,,,,,,,3446.9322,8336967,620.9045,,TRUE,micro,interpolation,8808000,4461252
GMB,2000,Sub-Saharan Africa,SSA,"Gambia, The",GMB,2000,national,,,,consumption,,,2.15,0.5546,0.2388,0.1336,0.379,3.0032,1.9271,,,,,,,,,,,,,,,15.1142,1437539,667.9654,,TRUE,micro,interpolation,1232000,683267.2
GNB,2000,Sub-Saharan Africa,SSA,Guinea-Bissau,GNB,2000,national,,,,consumption,,,2.15,0.5107,0.1792,0.0848,0.2532,2.7364,2.1031,,,,,,,,,,,,,,,232.1995,1230849,563.6243,466.5634,TRUE,micro,interpolation,1244000,635310.8
GNQ,2000,Sub-Saharan Africa,SSF,Equatorial Guinea,GNQ,,,,,,,,,,0.563003440785219,,,,,,,,,,,,,,,,,,,,,,,,,,regional,615000,346247.116082909
GRC,2000,Other High Income Countries,OHI,Greece,GRC,2000,national,,,,income,,,2.15,0.0049,0.004,0.0034,0.0031,31.3906,26.5122,,,,,,,,,,,,,,,0.6463,10805808,18642.8021,12289.3853,FALSE,micro,survey,11142000,54595.8
GRD,2000,Latin America & Caribbean,LCN,Grenada,GRD,,,,,,,,,,0.134277984386955,,,,,,,,,,,,,,,,,,,,,,,,,,regional,101000,13562.0764230824
GRL,2000,Other High Income Countries,ECS,Greenland,GRL,,,,,,,,,,0.00503872513993093,,,,,,,,,,,,,,,,,,,,,,,,,,regional,56000,282.168607836132
GTM,2000,Latin America & Caribbean,LAC,Guatemala,GTM,2000,national,,,,income,,,2.15,0.0961,0.0345,0.0183,0.0518,11.8189,6.8622,,,,,,,,,,,,,,,4.4033,11589761,3195.3881,2591.625,FALSE,micro,survey,11650000,1119565
GUM,2000,Other High Income Countries,EAS,Guam,GUM,,,,,,,,,,0.00503872513993093,,,,,,,,,,,,,,,,,,,,,,,,,,regional,156000,786.041121829225
GUY,2000,Latin America & Caribbean,LAC,Guyana,GUY,2000,national,,,,income,,,2.15,0.1177,0.058,0.0412,0.1422,8.4691,6.1115,,,,,,,,,,,,,,,115.6263,759051,3788.25,,TRUE,micro,extrapolation,753000,88628.1
HKG,2000,Other High Income Countries,EAS,"Hong Kong SAR, China",HKG,,,,,,,,,,0.00503872513993093,,,,,,,,,,,,,,,,,,,,,,,,,,regional,6664000,33578.0643324997
HND,2000,Latin America & Caribbean,LAC,Honduras,HND,2000,national,,,,income,,,2.15,0.21,0.0953,0.0603,0.1375,9.3323,5.4556,,,,,,,,,,,,,,,10.8388,6656725,1768.2539,1310.5945,TRUE,micro,interpolation,6524000,1370040
HRV,2000,Europe & Central Asia,ECA,Croatia,HRV,2000,national,,,,consumption,,,2.15,9e-04,6e-04,6e-04,0,22.0812,18.5636,,,,,,,,,,,,,,,3.8147,4468302,8876.8899,5357.783,FALSE,group,survey,4428000,3985.2
HTI,2000,Latin America & Caribbean,LAC,Haiti,HTI,2000,national,,,,income,,,2.15,0.6714,0.3705,0.2501,0.7125,2.7051,1.383,,,,,,,,,,,,,,,31.1029,8360225,1326.6698,1318.8299,TRUE,micro,extrapolation,8550000,5740470
HUN,2000,Europe & Central Asia,ECA,Hungary,HUN,2000,national,,,,consumption,,,2.15,6e-04,0,2.8791e-06,0,13.0024,11.3568,,,,,,,,,,,,,,,147.3767,10210971,8967.6963,4800.4898,FALSE,micro,survey,10221000,6132.6
IDN-R,2000,East Asia & Pacific,EAP,Indonesia,IDN,2000,rural,,,,consumption,,,2.15,0.5388,0.1356,0.0478,0.1704,2.3318,2.0724,,,,,,,,,,,,,,,4746.8516,124157723,1845.2278,1172.2687,FALSE,micro,survey,122689000,66104833.2
IDN-U,2000,East Asia & Pacific,EAP,Indonesia,IDN,2000,urban,,,,consumption,,,2.15,0.2941,0.0665,0.0219,0.082,3.4283,2.7791,,,,,,,,,,,,,,,5098.1961,89914698,1845.2278,1172.2687,FALSE,micro,survey,88851000,26131079.1
IMN,2000,Other High Income Countries,ECS,Isle of Man,IMN,,,,,,,,,,0.00503872513993093,,,,,,,,,,,,,,,,,,,,,,,,,,regional,73000,367.826935214958
IND-R,2000,South Asia,SAS,India,IND,2000,rural,,,,consumption,,,2.15,0.4885,0.1262,0.0453,0.1596,2.6354,2.1786,,,,,,,,,,,,,,,17.092,766464826,751.8408,486.1858,TRUE,micro,interpolation,761701000,372090938.5
IND-U,2000,South Asia,SAS,India,IND,2000,urban,,,,consumption,,,2.15,0.284,0.0693,0.0244,0.0876,3.882,2.9702,,,,,,,,,,,,,,,20.7873,293168849,751.8408,486.1858,TRUE,micro,interpolation,291350000,82743400
IRL,2000,Other High Income Countries,OHI,Ireland,IRL,2000,national,,,,income,,,2.15,0.0018,3e-04,1e-04,3e-04,38.5496,31.8858,,,,,,,,,,,,,,,0.9707,3805174,42098.2794,18125.1377,FALSE,micro,survey,3849000,6928.2
IRN,2000,Middle East & North Africa,MNA,"Iran, Islamic Rep.",IRN,2000,national,,,,consumption,,,2.15,0.0345,0.0063,0.0019,0.0076,11.5709,8.1526,,,,,,,,,,,,,,,13944.9043,65544383,3893.4647,1849.4318,TRUE,mixed,interpolation,66132000,2281554
IRQ,2000,Middle East & North Africa,MNA,Iraq,IRQ,2000,national,,,,consumption,,,2.15,0,2.7255e-06,1.6361e-07,2.8107e-06,12.5583,10.7109,,,,,,,,,,,,,,,586.4968,24628858,4138.1879,,TRUE,micro,extrapolation,23565000,0
ISL,2000,Other High Income Countries,OHI,Iceland,ISL,2000,national,,,,income,,,2.15,0,0,0,0,47.963,42.0309,,,,,,,,,,,,,,,155.6479,281205,42174.6651,24830.2856,TRUE,micro,extrapolation,280000,0
ISR,2000,Other High Income Countries,OHI,Israel,ISR,2000,national,,,,income,,,2.15,0.0025,9e-04,5e-04,0.0015,28.1458,22.124,,,,,,,,,,,,,,,4.2066,6289000,29321.3254,15247.9418,TRUE,micro,interpolation,6014000,15035
ITA,2000,Other High Income Countries,OHI,Italy,ITA,2000,national,,,,income,,,2.15,0.0125,0.0112,0.0105,0.0122,38.7705,32.5559,,,,,,,,,,,,,,,0.7672,56942108,32350.9044,19538.2215,FALSE,micro,survey,57294000,716175
JAM,2000,Latin America & Caribbean,LAC,Jamaica,JAM,2000,national,,,,consumption,,,2.15,0.024,0.0058,0.0024,0.0072,14.0722,9.4404,,,,,,,,,,,,,,,70.3916,2612205,4920.0708,,TRUE,micro,interpolation,2657000,63768
JOR,2000,Middle East & North Africa,MNA,Jordan,JOR,2000,national,,,,consumption,,,2.15,0.0034,7e-04,4e-04,8e-04,12.3657,9.4742,,,,,,,,,,,,,,,0.3292,5056174,3635.2922,,TRUE,mixed,interpolation,5103000,17350.2
JPN,2000,Other High Income Countries,OHI,Japan,JPN,2000,national,,,,income,,,2.15,0.0048,0.0022,0.0013,0.0035,40.3207,34.2178,,,,,,,,,,,,,,,113.0232,126843000,31430.6311,17399.1129,TRUE,micro,extrapolation,127534000,612163.2
KAZ,2000,Europe & Central Asia,ECA,Kazakhstan,KAZ,2000,national,,,,consumption,,,2.15,0.1361,0.0362,0.0144,0.0478,5.5261,4.4273,,,,,,,,,,,,,,,125.2634,14883626,4446.4519,2020.1667,TRUE,micro,interpolation,15057000,2049257.7
KEN,2000,Sub-Saharan Africa,SSA,Kenya,KEN,2000,national,,,,consumption,,,2.15,0.3104,0.0987,0.0442,0.1374,4.6147,3.1034,,,,,,,,,,,,,,,41.6348,30851606,1187.3258,913.8085,TRUE,micro,interpolation,31450000,9762080
KGZ,2000,Europe & Central Asia,ECA,Kyrgyz Republic,KGZ,2000,national,,,,consumption,,,2.15,0.3818,0.1008,0.0374,0.1287,3.0151,2.4645,,,,,,,,,,,,,,,19.3727,4898400,718.3373,493.8288,FALSE,micro,survey,4921000,1878837.8
KHM,2000,East Asia & Pacific,EAS,Cambodia,KHM,,,,,,,,,,0.395283439410535,,,,,,,,,,,,,,,,,,,,,,,,,,regional,12153000,4803879.63915623
KIR,2000,East Asia & Pacific,EAP,Kiribati,KIR,2000,national,,,,consumption,,,2.15,0.1271,0.0322,0.0126,0.0425,5.8086,4.6537,,,,,,,,,,,,,,,0.981,88826,1477.0884,,TRUE,micro,extrapolation,84000,10676.4
KNA,2000,Other High Income Countries,LCN,St. Kitts and Nevis,KNA,,,,,,,,,,0.00503872513993093,,,,,,,,,,,,,,,,,,,,,,,,,,regional,46000,231.781356436823
KOR,2000,Other High Income Countries,OHI,"Korea, Rep.",KOR,2000,national,,,,income,,,2.15,0.0049,0.0022,0.0014,0.0038,29.0807,25.2325,,,,,,,,,,,,,,,974.2056,47008111,16992.4791,9621.4441,TRUE,micro,extrapolation,47386000,232191.4
KWT,2000,Other High Income Countries,MEA,Kuwait,KWT,,,,,,,,,,0.00503872513993093,,,,,,,,,,,,,,,,,,,,,,,,,,regional,2051000,10334.4252619983
LAO,2000,East Asia & Pacific,EAP,Lao PDR,LAO,2000,national,,,,consumption,,,2.15,0.3341,0.0806,0.0285,0.1021,3.3712,2.6634,,,,,,,,,,,,,,,3133.8118,5430853,917.2887,575.7665,TRUE,micro,interpolation,5329000,1780418.9
LBN,2000,Middle East & North Africa,MNA,Lebanon,LBN,2000,national,,,,consumption,,,2.15,0,0,0,0,20.6587,17.5254,,,,,,,,,,,,,,,761.8333,4320642,5970.9745,5209.8689,TRUE,micro,extrapolation,3235000,0
