cc,effective_year,type,region_name,region_code,country_name,country_code,reporting_year,reporting_level,survey_acronym,survey_coverage,survey_year,welfare_type,survey_comparability,comparable_spell,poverty_line,headcount,poverty_gap,poverty_severity,watts,mean,median,mld,gini,polarization,decile1,decile2,decile3,decile4,decile5,decile6,decile7,decile8,decile9,decile10,cpi,ppp,reporting_pop,reporting_gdp,reporting_pce,is_interpolated,distribution_type,estimation_type
BLZ,2023,fpl_2019eq_fo_2023,Latin America & Caribbean,LAC,Belize,BLZ,2019,national,,,,income,,,1.51,0.1168,0.051,0.0324,0.0761,8.0582,4.7844,,,,,,,,,,,,,,,1.309,389095,5907.3489,3519.5142,TRUE,micro,extrapolation
MRT,2023,fpl_2019eq_fo_2023,Sub-Saharan Africa,SSA,Mauritania,MRT,2019,national,,,,consumption,,,3.2,0.1532,0.0396,0.0154,0.0517,6.9164,5.813,,,,,,,,,,,,,,,124.4526,4383849,1670.0288,1026.8215,TRUE,micro,extrapolation
GHA,2023,fpl_2019eq_fo_2023,Sub-Saharan Africa,SSA,Ghana,GHA,2019,national,,,,consumption,,,1.34,0.0942,0.0331,0.0166,0.0493,5.595,4.1094,,,,,,,,,,,,,,,1.751,31522290,1981.6139,1383.7097,TRUE,micro,extrapolation
MMR,2023,fpl_2019eq_fo_2023,East Asia & Pacific,EAP,Myanmar,MMR,2019,national,,,,consumption,,,2.42,0.0217,0.0034,9e-04,0.004,7.3097,6.0783,,,,,,,,,,,,,,,389.8429,53040212,1587.4042,,TRUE,micro,extrapolation
ARG,2023,fpl_2019eq_fo_2023,Latin America & Caribbean,LAC,Argentina,ARG,2019,urban,,,,income,,,6.58,0.1045,0.0339,0.0163,0.0463,26.0959,19.4754,,,,,,,,,,,,,,,10.8079,41339571,12716.2242,8271.9248,FALSE,micro,survey
BFA,2023,fpl_2019eq_fo_2023,Sub-Saharan Africa,SSA,Burkina Faso,BFA,2019,national,,,,consumption,,,1.29,0.0719,0.0129,0.0036,0.0153,4.345,2.9247,,,,,,,,,,,,,,,199.7414,20951639,716.0122,459.4514,TRUE,micro,extrapolation
COL,2023,fpl_2019eq_fo_2023,Latin America & Caribbean,LAC,Colombia,COL,2019,national,,,,income,,,3.44,0.1248,0.0456,0.025,0.0645,15.5424,9.6152,,,,,,,,,,,,,,,1419.3743,50187406,6404.1088,4460.1382,FALSE,micro,survey
MLI,2023,fpl_2019eq_fo_2023,Sub-Saharan Africa,SSA,Mali,MLI,2019,national,,,,consumption,,,1.57,0.0441,0.0073,0.002,0.0087,4.9586,3.7931,,,,,,,,,,,,,,,205.2734,20567424,779.3266,584.8007,TRUE,micro,extrapolation
COG,2023,fpl_2019eq_fo_2023,Sub-Saharan Africa,SSA,"Congo, Rep.",COG,2019,national,,,,consumption,,,1.87,0.4315,0.1826,0.0998,0.2791,3.2916,2.1366,,,,,,,,,,,,,,,285.9693,5570733,1731.7999,758.3223,TRUE,micro,extrapolation
GRD,2023,fpl_2019eq_fo_2023,"","","","",,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",""
VCT,2023,fpl_2019eq_fo_2023,"","","","",,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",""
DMA,2023,fpl_2019eq_fo_2023,"","","","",,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",""
MNG,2023,fpl_2019eq_fo_2023,East Asia & Pacific,EAP,Mongolia,MNG,2019,national,,,,consumption,,,3.21,0.0365,0.0065,0.0018,0.0077,10.2167,8.3899,,,,,,,,,,,,,,,873.542,3232430,4385.1117,2792.8122,TRUE,micro,extrapolation
BRA,2023,fpl_2019eq_fo_2023,Latin America & Caribbean,LAC,Brazil,BRA,2019,national,,,,income,,,4.04,0.1246,0.0521,0.0304,0.0788,21.1151,12.8877,,,,,,,,,,,,,,,2.3274,211782878,8592.2102,5605.5095,FALSE,micro,survey
MDG,2023,fpl_2019eq_fo_2023,Sub-Saharan Africa,SSA,Madagascar,MDG,2019,national,,,,consumption,,,1.58,0.6622,0.2839,0.1549,0.4343,1.6895,1.1883,,,,,,,,,,,,,,,962.9596,27533134,478.927,337.9674,TRUE,micro,extrapolation
PER,2023,fpl_2019eq_fo_2023,Latin America & Caribbean,LAC,Peru,PER,2019,national,,,,income,,,3.34,0.08,0.0243,0.0107,0.0335,13.7971,10.4066,,,,,,,,,,,,,,,1.8936,32824861,6550.4475,4311.3532,FALSE,micro,survey
LSO,2023,fpl_2019eq_fo_2023,Sub-Saharan Africa,SSA,Lesotho,LSO,2019,national,,,,consumption,,,1.16,0.1126,0.0345,0.015,0.047,4.4442,3.0987,,,,,,,,,,,,,,,5.244,2225702,1040.2187,835.9343,TRUE,micro,extrapolation
LAO,2023,fpl_2019eq_fo_2023,East Asia & Pacific,EAP,Lao PDR,LAO,2019,national,,,,consumption,,,2.31,0.0849,0.0151,0.0042,0.018,6.6662,4.8631,,,,,,,,,,,,,,,3133.8118,7212053,2564.0197,,TRUE,micro,extrapolation
FSM,2023,fpl_2019eq_fo_2023,East Asia & Pacific,EAP,"Micronesia, Fed. Sts.",FSM,2019,national,,,,consumption,,,1.48,0.0765,0.0282,0.0154,0.0441,5.8221,4.428,,,,,,,,,,,,,,,0.9772,111379,2967.0022,,TRUE,micro,extrapolation
PRY,2023,fpl_2019eq_fo_2023,Latin America & Caribbean,LAC,Paraguay,PRY,2019,national,,,,income,,,3.36,0.0407,0.01,0.0036,0.0127,19.46,13.3391,,,,,,,,,,,,,,,2539.9849,6530026,6229.212,4079.9709,FALSE,micro,survey
CRI,2023,fpl_2019eq_fo_2023,Latin America & Caribbean,LAC,Costa Rica,CRI,2019,national,,,,income,,,4.04,0.0424,0.0137,0.0069,0.0185,25.5309,16.2318,,,,,,,,,,,,,,,372.6693,5084532,12662.4229,8185.9077,FALSE,micro,survey
BOL,2023,fpl_2019eq_fo_2023,Latin America & Caribbean,LAC,Bolivia,BOL,2019,national,,,,income,,,4.85,0.086,0.0315,0.0162,0.0463,19.6077,14.6929,,,,,,,,,,,,,,,2.6119,11777315,3242.9488,2244.932,FALSE,micro,survey
SEN,2023,fpl_2019eq_fo_2023,Sub-Saharan Africa,SSA,Senegal,SEN,2019,national,,,,consumption,,,1.72,0.0345,0.0063,0.0019,0.0077,6.0358,4.4737,,,,,,,,,,,,,,,238.5777,16000781,1409.9708,968.9019,TRUE,micro,extrapolation
GTM,2023,fpl_2019eq_fo_2023,Latin America & Caribbean,LAC,Guatemala,GTM,2019,national,,,,income,,,4.21,0.2659,0.0918,0.0444,0.1319,10.6186,6.9692,,,,,,,,,,,,,,,4.4033,16604026,4263.7084,3680.3284,TRUE,micro,extrapolation
CIV,2023,fpl_2019eq_fo_2023,Sub-Saharan Africa,SSA,Cote d'Ivoire,CIV,2019,national,,,,consumption,,,1.54,0.0303,0.0055,0.0017,0.0067,5.7669,4.4315,,,,,,,,,,,,,,,247.1344,26147551,2252.5433,1428.7855,TRUE,micro,extrapolation
KAZ,2023,fpl_2019eq_fo_2023,Europe & Central Asia,ECA,Kazakhstan,KAZ,2019,national,,,,consumption,,,4.24,0.0096,0.0013,3e-04,0.0015,13.0132,10.9095,,,,,,,,,,,,,,,125.2634,18513673,11402.7584,6188.6384,TRUE,micro,extrapolation
IDN-R,2023,fpl_2019eq_fo_2023,East Asia & Pacific,EAP,Indonesia,IDN,2019,rural,,,,consumption,,,2.15,0.0589,0.0079,0.0017,0.009,5.824,4.8255,,,,,,,,,,,,,,,4746.8516,118656904,3892.4217,2236.778,FALSE,micro,survey
ARM,2023,fpl_2019eq_fo_2023,Europe & Central Asia,ECA,Armenia,ARM,2019,national,,,,consumption,,,2.28,0.0128,0.0018,4e-04,0.0021,7.9063,6.714,,,,,,,,,,,,,,,167.3122,2820602,4561.9678,3804.3075,FALSE,micro,survey
ECU,2023,fpl_2019eq_fo_2023,Latin America & Caribbean,LAC,Ecuador,ECU,2019,national,,,,income,,,3.21,0.0778,0.0252,0.0122,0.0357,15.3802,10.6785,,,,,,,,,,,,,,,0.5745,17343740,5863.9106,3644.6061,FALSE,micro,survey
CPV,2023,fpl_2019eq_fo_2023,Sub-Saharan Africa,SSA,Cabo Verde,CPV,2019,national,,,,consumption,,,1.84,0.0164,0.0029,9e-04,0.0035,11.0674,7.8351,,,,,,,,,,,,,,,47.6121,577030,3690.6565,2430.3797,TRUE,micro,extrapolation
KHM,2023,fpl_2019eq_fo_2023,"","","","",,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",""
DOM,2023,fpl_2019eq_fo_2023,Latin America & Caribbean,LAC,Dominican Republic,DOM,2019,national,,,,income,,,3.43,0.031,0.0079,0.0034,0.0095,16.4693,11.8024,,,,,,,,,,,,,,,24.3906,10881882,8205.1426,5673.9275,FALSE,micro,survey
DZA,2023,fpl_2019eq_fo_2023,Middle East & North Africa,MNA,Algeria,DZA,2019,national,,,,consumption,,,2.58,0.0057,0.0017,0.0012,0.0017,10.3991,9.0641,,,,,,,,,,,,,,,38.2097,42705368,4153.0034,1764.5954,TRUE,group,extrapolation
MNE,2023,fpl_2019eq_fo_2023,Europe & Central Asia,ECA,Montenegro,MNE,2019,national,,,,income,,,6.52,0.1663,0.0605,0.0329,0.0963,17.4967,15.0708,,,,,,,,,,,,,,,0.4187,622028,7684.1804,6091.2408,TRUE,micro,extrapolation
IDN-U,2023,fpl_2019eq_fo_2023,East Asia & Pacific,EAP,Indonesia,IDN,2019,urban,,,,consumption,,,1.78,0.0088,8e-04,1e-04,9e-04,8.5269,6.3138,,,,,,,,,,,,,,,5098.1961,150925974,3892.4217,2236.778,FALSE,micro,survey
BTN,2023,fpl_2019eq_fo_2023,South Asia,SAS,Bhutan,BTN,2019,national,,,,consumption,,,2.52,0.0095,0.0015,4e-04,0.0018,13.5325,11.1228,,,,,,,,,,,,,,,20.4738,767459,3219.6414,1829.0473,TRUE,micro,interpolation
TUN,2023,fpl_2019eq_fo_2023,Middle East & North Africa,MNA,Tunisia,TUN,2019,national,,,,consumption,,,2.53,0.0026,4e-04,1e-04,4e-04,14.575,12.0356,,,,,,,,,,,,,,,0.7423,12049314,4094.8806,2992.3983,TRUE,micro,extrapolation
KGZ,2023,fpl_2019eq_fo_2023,Europe & Central Asia,ECA,Kyrgyz Republic,KGZ,2019,national,,,,consumption,,,2.69,0.0255,0.0044,0.0016,0.0061,7.0922,5.8372,,,,,,,,,,,,,,,19.3727,6456200,1226.8243,1046.9191,FALSE,micro,survey
CHL,2023,fpl_2019eq_fo_2023,Latin America & Caribbean,LAC,Chile,CHL,2019,national,,,,income,,,3.26,0.0105,0.0049,0.0035,0.0055,27.0133,18.1061,,,,,,,,,,,,,,,478.9957,19039485,13761.3745,8799.0632,TRUE,micro,interpolation
ALB,2023,fpl_2019eq_fo_2023,Europe & Central Asia,ECA,Albania,ALB,2019,national,,,,consumption,,,3.52,0.0095,0.0013,3e-04,0.0015,13.7498,11.6073,,,,,,,,,,,,,,,50.3574,2854191,4543.3877,3591.2926,FALSE,micro,survey
RUS,2023,fpl_2019eq_fo_2023,Europe & Central Asia,ECA,Russian Federation,RUS,2019,national,,,,consumption,,,6.43,0.0325,0.0062,0.0019,0.0076,23.7168,17.9012,,,,,,,,,,,,,,,25.2183,144406261,9958.4697,5348.7827,FALSE,micro,survey
MAR,2023,fpl_2019eq_fo_2023,Middle East & North Africa,MNA,Morocco,MAR,2019,national,,,,consumption,,,1.54,0.0017,3e-04,1e-04,4e-04,11.3877,8.3125,,,,,,,,,,,,,,,4.2908,36304408,3355.613,1955.6167,TRUE,micro,extrapolation
SSD,2023,fpl_2019eq_fo_2023,Sub-Saharan Africa,SSA,South Sudan,SSD,2019,national,,,,consumption,,,1.91,0.6737,0.3206,0.1912,0.5286,1.9082,1.3498,,,,,,,,,,,,,,,34.92,10447666,787.1836,,TRUE,imputed,extrapolation
AZE,2023,fpl_2019eq_fo_2023,Europe & Central Asia,ECA,Azerbaijan,AZE,2019,national,,,,consumption,,,5.89,3e-04,9.35e-06,8.25e-07,9.79e-06,19.7505,16.3746,,,,,,,,,,,,,,,0.487,10024283,5348.4541,,TRUE,micro,extrapolation
NAM,2023,fpl_2019eq_fo_2023,Sub-Saharan Africa,SSA,Namibia,NAM,2019,national,,,,consumption,,,1.73,0.1249,0.0412,0.0188,0.0571,10.8385,5.2862,,,,,,,,,,,,,,,6.8983,2446644,4596.6196,3427.6467,TRUE,micro,extrapolation
UKR,2023,fpl_2019eq_fo_2023,Europe & Central Asia,ECA,Ukraine,UKR,2019,national,,,,consumption,,,2.24,0,0,0,0,14.9213,13.1278,,,,,,,,,,,,,,,7.0057,44386203,2425.635,1997.7584,FALSE,micro,survey
CHN-U,2023,fpl_2019eq_fo_2023,East Asia & Pacific,EAP,China,CHN,2019,urban,,,,consumption,,,1.66,3e-04,1e-04,0,1e-04,16.9772,13.3395,,,,,,,,,,,,,,,4.3185,848982855,10155.5114,4083.1129,FALSE,aggregate,survey
LCA,2023,fpl_2019eq_fo_2023,Latin America & Caribbean,LAC,St. Lucia,LCA,2019,national,,,,income,,,2.85,0.08,0.0359,0.0243,0.0492,20.9339,13.6152,,,,,,,,,,,,,,,2.0792,178583,11060.6889,,TRUE,micro,extrapolation
MYS,2023,fpl_2019eq_fo_2023,East Asia & Pacific,EAP,Malaysia,MYS,2019,national,,,,income,,,3.72,0.0017,2e-04,1e-04,3e-04,33.9062,25.0265,,,,,,,,,,,,,,,1.7269,32804020,11114.5427,6523.1009,TRUE,micro,extrapolation
CHN-R,2023,fpl_2019eq_fo_2023,East Asia & Pacific,EAP,China,CHN,2019,rural,,,,consumption,,,1.37,4e-04,1e-04,1e-04,1e-04,9.9159,8.0993,,,,,,,,,,,,,,,3.495,558762145,10155.5114,4083.1129,FALSE,aggregate,survey
IRQ,2023,fpl_2019eq_fo_2023,Middle East & North Africa,MNA,Iraq,IRQ,2019,national,,,,consumption,,,3.4,0.0101,0.0013,3e-04,0.0015,12.5802,10.7027,,,,,,,,,,,,,,,586.4968,41563520,4854.3865,,TRUE,micro,extrapolation
BWA,2023,fpl_2019eq_fo_2023,Sub-Saharan Africa,SSA,Botswana,BWA,2019,national,,,,consumption,,,2.37,0.1672,0.0459,0.0186,0.0608,9.3453,5.1275,,,,,,,,,,,,,,,5.0087,2499702,6485.4604,2815.3277,TRUE,micro,extrapolation
COM,2023,fpl_2019eq_fo_2023,Sub-Saharan Africa,SSA,Comoros,COM,2019,national,,,,consumption,,,2.59,0.2487,0.0879,0.0439,0.1279,6.6409,4.5375,,,,,,,,,,,,,,,213.5182,790986,1381.6222,1302.6061,TRUE,micro,extrapolation
KIR,2023,fpl_2019eq_fo_2023,East Asia & Pacific,EAP,Kiribati,KIR,2019,national,,,,consumption,,,2.89,0.0784,0.0142,0.004,0.0169,6.2648,5.3335,,,,,,,,,,,,,,,0.981,124241,1405.4692,1327.3395,TRUE,micro,interpolation
MKD,2023,fpl_2019eq_fo_2023,Europe & Central Asia,ECA,North Macedonia,MKD,2019,national,,,,income,,,3.67,0.0746,0.0269,0.0145,0.0418,14.9491,13.4756,,,,,,,,,,,,,,,22.1667,2076694,5386.2027,3806.5464,FALSE,micro,survey
BEN,2023,fpl_2019eq_fo_2023,Sub-Saharan Africa,SSA,Benin,BEN,2019,national,,,,consumption,,,1.07,0.0158,0.0021,5e-04,0.0024,4.7459,3.5472,,,,,,,,,,,,,,,219.4763,12290444,1153.7262,787.1982,TRUE,micro,extrapolation
BLR,2023,fpl_2019eq_fo_2023,Europe & Central Asia,ECA,Belarus,BLR,2019,national,,,,consumption,,,5.68,0.0055,7e-04,1e-04,8e-04,19.1325,17.1343,,,,,,,,,,,,,,,6165.2094,9419758,6267.7658,3425.8628,FALSE,micro,survey
WSM,2023,fpl_2019eq_fo_2023,East Asia & Pacific,EAP,Samoa,WSM,2019,national,,,,consumption,,,3.25,0.0516,0.0103,0.0029,0.0123,11.1628,8.2884,,,,,,,,,,,,,,,1.8513,211905,4322.4413,2968.6638,TRUE,micro,extrapolation
PSE,2023,fpl_2019eq_fo_2023,Middle East & North Africa,MNA,West Bank and Gaza,PSE,2019,national,,,,consumption,,,3.45,0.0258,0.0057,0.0019,0.007,13.7295,11.3416,,,,,,,,,,,,,,,2.0663,4685306,3378.4346,3015.0645,TRUE,micro,extrapolation
VNM,2023,fpl_2019eq_fo_2023,East Asia & Pacific,EAP,Vietnam,VNM,2019,national,,,,consumption,,,2.31,0.0109,0.002,6e-04,0.0024,14.7025,11.7817,,,,,,,,,,,,,,,7807.6123,95776716,3288.3531,1935.0125,TRUE,micro,interpolation
SLV,2023,fpl_2019eq_fo_2023,Latin America & Caribbean,LAC,El Salvador,SLV,2019,national,,,,income,,,3.29,0.0482,0.012,0.0045,0.0154,12.9517,9.8868,,,,,,,,,,,,,,,0.515,6280217,4105.6462,3394.1369,FALSE,micro,survey
COD,2023,fpl_2019eq_fo_2023,Sub-Saharan Africa,SSA,"Congo, Dem. Rep.",COD,2019,national,,,,consumption,,,1.55,0.4522,0.1685,0.0849,0.2462,2.3365,1.6835,,,,,,,,,,,,,,,630.6055,89906890,494.8192,362.7961,TRUE,micro,extrapolation
PHL,2023,fpl_2019eq_fo_2023,East Asia & Pacific,EAP,Philippines,PHL,2019,national,,,,consumption,,,2.52,0.0851,0.016,0.0047,0.0193,7.2445,5.4586,,,,,,,,,,,,,,,19.3925,110380804,3589.6136,2557.7651,TRUE,micro,interpolation
TON,2023,fpl_2019eq_fo_2023,East Asia & Pacific,EAP,Tonga,TON,2019,national,,,,consumption,,,2.84,0.038,0.0087,0.0029,0.0108,8.9147,7.3962,,,,,,,,,,,,,,,1.7136,104951,4633.061,4508.321,TRUE,micro,extrapolation
