cc,effective_year,region_name,region_code,country_name,country_code,reporting_year,reporting_level,survey_acronym,survey_coverage,survey_year,welfare_type,survey_comparability,comparable_spell,poverty_line,headcount,poverty_gap,poverty_severity,watts,mean,median,mld,gini,polarization,decile1,decile2,decile3,decile4,decile5,decile6,decile7,decile8,decile9,decile10,cpi,ppp,reporting_pop,reporting_gdp,reporting_pce,is_interpolated,distribution_type,estimation_type
CPV,2000,Sub-Saharan Africa,SSA,Cabo Verde,CPV,2000,national,,,,consumption,,,1.673,0.1204,0.0327,0.0135,0.044,7.167,4.2758,0.4786,0.525,0.4709,0.0159,0.0256,0.0335,0.0423,0.0522,0.0649,0.081,0.1046,0.1537,0.4264,,47.6121,428178,1974.0888,,TRUE,micro,extrapolation
IDN-U,2000,East Asia & Pacific,EAP,Indonesia,IDN,2000,urban,,,,consumption,,,1.359,0.0574,0.0086,0.0021,0.01,3.4283,2.7792,0.1635,0.3165,0.2541,0.0374,0.05,0.059,0.0675,0.0763,0.0864,0.099,0.1165,0.1452,0.2627,,5098.1961,88840036,1867.5488,1186.4492,FALSE,micro,survey
STP,2000,Sub-Saharan Africa,SSA,Sao Tome and Principe,STP,2000,national,,,,consumption,,,1.251,0.0324,0.0039,7e-04,0.0043,4.1433,3.4328,0.1677,0.3213,0.2913,0.033,0.0462,0.0565,0.0665,0.0771,0.0893,0.1044,0.1252,0.1563,0.2455,,11.4289,142264,1073.8966,,TRUE,micro,extrapolation
VUT,2000,East Asia & Pacific,EAP,Vanuatu,VUT,2000,national,,,,consumption,,,1.513,0.0571,0.0114,0.0037,0.014,5.2605,4.1238,0.2339,0.3735,0.3141,0.027,0.0408,0.0507,0.0613,0.0723,0.0838,0.0983,0.1202,0.1542,0.2913,,117.3665,184964,2836.561,,TRUE,micro,extrapolation
COG,2000,Sub-Saharan Africa,SSA,"Congo, Rep.",COG,2000,national,,,,consumption,,,2.028,0.4931,0.194,0.099,0.2827,3.218,2.1637,0.3799,0.4733,0.442,0.0196,0.0294,0.0387,0.0474,0.0578,0.0709,0.089,0.1147,0.164,0.3685,,285.9693,3127420,2061.2873,711.5428,TRUE,micro,extrapolation
NPL,2000,South Asia,SAS,Nepal,NPL,2000,national,,,,consumption,,,1.452,0.1737,0.038,0.0124,0.0468,3.42,,,,,,,,,,,,,,,,30.5129,23941099,570.2386,,TRUE,micro,interpolation
MOZ,2000,Sub-Saharan Africa,SSA,Mozambique,MOZ,2000,national,,,,consumption,,,1.516,0.6963,0.3253,0.1881,0.5164,1.6786,,,,,,,,,,,,,,,,21.988,17711925,294.6469,204.5958,TRUE,micro,interpolation
HTI,2000,Latin America & Caribbean,LAC,Haiti,HTI,2000,national,,,,income,,,1.798,0.6074,0.3186,0.2098,0.6001,2.6971,1.3638,0.6923,0.5948,0.5673,0.0064,0.0169,0.0263,0.0352,0.0453,0.0575,0.0751,0.1012,0.1577,0.4782,,31.1029,8463802,1309.2938,1199.2952,TRUE,micro,extrapolation
BDI,2000,Sub-Saharan Africa,SSA,Burundi,BDI,2000,national,,,,consumption,,,1.806,0.7119,0.3151,0.1805,0.5116,1.6823,,,,,,,,,,,,,,,,654.4216,6378871,306.5845,209.1836,TRUE,micro,interpolation
LBN,2000,Middle East & North Africa,MNA,Lebanon,LBN,2000,national,,,,consumption,,,1.098,0,0,0,0,24.6415,26.1167,0.1698,0.3183,0.268,0.0309,0.0476,0.0586,0.0683,0.0786,0.0912,0.1036,0.1215,0.1517,0.2479,,761.8333,3842774,6728.5503,5922.2484,TRUE,micro,extrapolation
SSD,2000,"","","","",,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",""
IDN-R,2000,East Asia & Pacific,EAP,Indonesia,IDN,2000,rural,,,,consumption,,,1.643,0.2701,0.0519,0.0154,0.0626,2.3318,2.0724,0.0948,0.241,0.193,0.0461,0.0602,0.0689,0.0767,0.0847,0.0933,0.1037,0.1175,0.1389,0.21,,4746.8516,122673786,1867.5488,1186.4492,FALSE,micro,survey
UKR,2000,Europe & Central Asia,ECA,Ukraine,UKR,2000,national,,,,consumption,,,2.394,0.0649,0.0148,0.0055,0.019,6.4174,,,,,,,,,,,,,,,,7.0057,49176500,1420.1166,570.5428,TRUE,micro,interpolation
TGO,2000,Sub-Saharan Africa,SSA,Togo,TGO,2000,national,,,,consumption,,,1.839,0.4802,0.1696,0.0787,0.2357,2.7453,1.7547,0.294,0.4221,0.3902,0.0246,0.0359,0.0442,0.0532,0.0635,0.0755,0.093,0.1185,0.165,0.3264,,246.5965,4924406,505.5009,393.3877,TRUE,micro,extrapolation
ARM,2000,Europe & Central Asia,ECA,Armenia,ARM,2000,national,,,,consumption,,,1.927,0.0996,0.0205,0.0067,0.0256,5.0238,,,,,,,,,,,,,,,,167.3122,3069597,1289.8843,1325.09,TRUE,micro,interpolation
GMB,2000,Sub-Saharan Africa,SSA,"Gambia, The",GMB,2000,national,,,,consumption,,,1.7,0.4077,0.1548,0.081,0.2376,3.1867,,,,,,,,,,,,,,,,15.1142,1317708,728.7096,,TRUE,micro,interpolation
ZWE,2000,Sub-Saharan Africa,SSA,Zimbabwe,ZWE,2000,national,,,,consumption,,,2.135,0.0997,0.0165,0.0039,0.0189,7.4188,3.7989,0.3112,0.4315,0.3884,0.0248,0.0335,0.0426,0.0524,0.0635,0.0766,0.0932,0.1169,0.1583,0.3383,,0.485,11881482,1696.7533,,TRUE,group,extrapolation
ROU,2000,Europe & Central Asia,ECA,Romania,ROU,2000,national,,,,consumption,,,2.701,0.1257,0.0288,0.01,0.0363,5.6455,4.9285,0.1452,0.2932,0.2418,0.0345,0.0509,0.0616,0.0717,0.082,0.093,0.1054,0.1217,0.1462,0.2331,,1.805,22442971,4548.6021,2177.0532,FALSE,micro,survey
TLS,2000,East Asia & Pacific,EAP,Timor-Leste,TLS,2000,national,,,,consumption,,,2.132,0.2805,0.072,0.0264,0.0911,3.8861,3.367,0.2112,0.3594,0.3149,0.0304,0.0424,0.0524,0.0621,0.0719,0.0846,0.1003,0.1207,0.1531,0.2821,,0.4231,884366,941.59,847.5999,TRUE,micro,extrapolation
LAO,2000,East Asia & Pacific,EAP,Lao PDR,LAO,2000,national,,,,consumption,,,1.208,0.0436,0.0079,0.0026,0.0099,3.371,,,,,,,,,,,,,,,,3133.8118,5323701,935.7513,585.8919,TRUE,micro,interpolation
VNM,2000,East Asia & Pacific,EAP,Vietnam,VNM,2000,national,,,,consumption,,,1.721,0.1628,0.0345,0.0111,0.0424,3.7905,,,,,,,,,,,,,,,,7807.6123,79910411,957.0038,629.2899,TRUE,micro,interpolation
BGD,2000,South Asia,SAS,Bangladesh,BGD,2000,national,,,,consumption,,,2.158,0.3345,0.0741,0.0238,0.0909,3.4174,2.6614,0.1811,0.3341,0.2679,0.0373,0.0491,0.0567,0.0644,0.0733,0.0829,0.0956,0.114,0.148,0.2786,,29.5141,127657862,663.9878,550.4989,FALSE,micro,survey
KEN,2000,Sub-Saharan Africa,SSA,Kenya,KEN,2000,national,,,,consumption,,,1.403,0.1329,0.0345,0.0139,0.0469,4.597,,,,,,,,,,,,,,,,41.6348,31964557,1145.9846,788.4536,TRUE,micro,interpolation
SLE,2000,Sub-Saharan Africa,SSA,Sierra Leone,SLE,2000,national,,,,consumption,,,2.388,0.7513,0.3899,0.2536,,2.0083,,,,,,,,,,,,,,,,2128.5188,4584570,403.0499,292.034,TRUE,mixed,interpolation
AFG,2000,"","","","",,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",""
GIN,2000,Sub-Saharan Africa,SSA,Guinea,GIN,2000,national,,,,consumption,,,1.715,0.387,0.13,0.0596,0.1808,3.1669,,,,,,,,,,,,,,,,3446.9322,8240735,628.1551,,TRUE,micro,interpolation
BTN,2000,South Asia,SAS,Bhutan,BTN,2000,national,,,,consumption,,,2.048,0.206,0.0446,0.0134,0.0536,4.8727,4.233,0.2725,0.409,0.3707,0.0281,0.0372,0.0456,0.0541,0.065,0.0773,0.095,0.1182,0.1573,0.3222,,20.4738,591014,1108.4398,534.3077,TRUE,micro,extrapolation
SDN,2000,Sub-Saharan Africa,SSA,Sudan,SDN,2000,national,,,,consumption,,,2.349,0.3099,0.0965,0.0428,0.133,3.9539,3.7724,0.2132,0.354,0.3139,0.0264,0.0418,0.0527,0.0638,0.075,0.0879,0.1037,0.125,0.1569,0.2669,,6.464,27275019,1123.5527,411.0065,TRUE,micro,extrapolation
BWA,2000,Sub-Saharan Africa,SSA,Botswana,BWA,2000,national,,,,consumption,,,2.323,0.3197,0.1233,0.0634,0.1836,9.0029,,,,,,,,,,,,,,,,5.0087,1643333,4569.2152,1766.7607,TRUE,mixed,interpolation
TUN,2000,Middle East & North Africa,MNA,Tunisia,TUN,2000,national,,,,consumption,,,2.194,0.0473,0.009,0.0028,0.0111,9.0621,6.7109,0.2811,0.4081,0.359,0.0244,0.0352,0.0456,0.0563,0.0679,0.081,0.0971,0.1194,0.1574,0.3157,,0.7423,9708347,2881.2838,1600.3129,FALSE,group,survey
CAF,2000,Sub-Saharan Africa,SSA,Central African Republic,CAF,2000,national,,,,consumption,,,2.439,0.7713,0.4782,0.3494,1.0022,2.163,,,,,,,,,,,,,,,,306.8083,3640421,460.3452,,TRUE,mixed,interpolation
PHL,2000,East Asia & Pacific,EAP,Philippines,PHL,2000,national,,,,consumption,,,2.248,0.169,0.0373,0.0121,0.0459,5.9141,4.0263,0.3024,0.428,0.3771,0.0259,0.0364,0.0444,0.0527,0.0625,0.0746,0.0909,0.1146,0.1574,0.3406,,19.3925,77991757,1830.9132,1382.2956,FALSE,micro,survey
KGZ,2000,Europe & Central Asia,ECA,Kyrgyz Republic,KGZ,2000,national,,,,consumption,,,2.478,0.5052,0.1465,0.0588,0.1918,3.0151,2.4645,0.1548,0.3104,0.266,0.0365,0.0498,0.0588,0.0683,0.0771,0.0873,0.1005,0.1201,0.1531,0.2484,,19.3727,4898400,718.3373,493.8288,FALSE,micro,survey
NIC,2000,Latin America & Caribbean,LAC,Nicaragua,NIC,2000,national,,,,consumption,,,2.004,0.1607,0.044,0.0174,0.0576,5.7613,,,,,,,,,,,,,,,,11.5284,5069310,1444.9525,1067.4984,TRUE,micro,interpolation
MMR,2000,East Asia & Pacific,EAP,Myanmar,MMR,2000,national,,,,consumption,,,2.373,0.8563,0.4226,0.2454,0.6617,1.6676,4.7684,0.2505,0.3807,0.2862,0.0295,0.0438,0.0525,0.0609,0.0697,0.0804,0.0938,0.1121,0.1402,0.3171,,389.8429,46719698,318.6944,,TRUE,micro,extrapolation
DZA,2000,Middle East & North Africa,MNA,Algeria,DZA,2000,national,,,,consumption,,,2.368,0.0754,0.0159,0.0055,0.0198,6.5991,,,,,,,,,,,,,,,,38.2097,31042238,3111.1762,1050.7865,TRUE,group,interpolation
ETH,2000,Sub-Saharan Africa,SSA,Ethiopia,ETH,2000,national,,,,consumption,,,2.164,0.5068,0.1412,0.0546,0.1825,2.5662,,,,,,,,,,,,,,,,8.4964,66224809,268.616,,TRUE,micro,interpolation
LKA,2000,South Asia,SAS,Sri Lanka,LKA,2000,national,,,,consumption,,,1.823,0.0585,0.0095,0.0026,0.0113,5.5863,,,,,,,,,,,,,,,,55.5009,18777606,1923.4135,1317.5286,TRUE,micro,interpolation
COM,2000,Sub-Saharan Africa,SSA,Comoros,COM,2000,national,,,,consumption,,,2.562,0.206,0.0627,0.027,0.0856,8.7789,4.6516,0.5467,0.5593,0.4433,0.0154,0.0247,0.0324,0.0403,0.0483,0.0594,0.0731,0.0925,0.1331,0.481,,213.5182,542358,1189.7218,1126.0141,TRUE,micro,extrapolation
TJK,2000,Europe & Central Asia,ECA,Tajikistan,TJK,2000,national,,,,consumption,,,2.134,0.5559,0.1832,0.0833,0.2553,2.3134,,,,,,,,,,,,,,,,2.5948,6216329,434.3443,,TRUE,micro,interpolation
ZAF,2000,Sub-Saharan Africa,SSA,South Africa,ZAF,2000,national,,,,consumption,,,1.903,0.3222,0.1148,0.0518,0.1627,6.5215,,,,,,,,,,,,,,,,6.5494,44967713,4930.0255,2512.4309,TRUE,group,interpolation
TON,2000,East Asia & Pacific,EAP,Tonga,TON,2000,national,,,,consumption,,,2.532,0.0409,0.0122,0.005,0.0161,11.0287,8.9936,0.2449,0.3769,0.3355,0.0237,0.0388,0.0494,0.0609,0.0723,0.0866,0.1025,0.1238,0.1592,0.2829,,1.7136,97962,3731.1827,,TRUE,micro,extrapolation
COL,2000,Latin America & Caribbean,LAC,Colombia,COL,2000,national,,,,income,,,2.224,0.181,0.1151,0.0974,0.0673,10.0192,5.3493,0.6178,0.5868,0.5366,0.0013,0.0177,0.0291,0.0383,0.0486,0.0612,0.0781,0.1032,0.1524,0.4701,,1419.3743,39629965,3961.9297,2775.0069,FALSE,micro,survey
SWZ,2000,Sub-Saharan Africa,SSA,Eswatini,SWZ,2000,national,,,,consumption,,,1.705,0.4622,0.1706,0.0851,0.2488,3.4556,,,,,,,,,,,,,,,,6.1177,1005432,2471.5588,1816.8464,TRUE,mixed,interpolation
MNG,2000,East Asia & Pacific,EAP,Mongolia,MNG,2000,national,,,,consumption,,,2.457,0.3065,0.0905,0.0381,0.1232,3.8572,,,,,,,,,,,,,,,,873.542,2397417,1592.234,,TRUE,mixed,interpolation
LCA,2000,Latin America & Caribbean,LAC,St. Lucia,LCA,2000,national,,,,income,,,2.433,0.1513,0.0554,0.0298,0.0794,8.1403,,,,,,,,,,,,,,,,2.0792,156737,9326.8713,,TRUE,mixed,interpolation
KIR,2000,East Asia & Pacific,EAP,Kiribati,KIR,2000,national,,,,consumption,,,2.56,0.1788,0.0523,0.0217,0.0702,5.7621,4.4459,0.2337,0.3697,0.2991,0.0255,0.0404,0.0525,0.0631,0.0739,0.0861,0.1002,0.1188,0.147,0.2925,,0.981,84405,1553.0584,,TRUE,micro,extrapolation
YEM,2000,Middle East & North Africa,MNA,"Yemen, Rep.",YEM,2000,national,,,,consumption,,,2.217,0.0964,0.0204,0.0068,0.0255,6.072,,,,,,,,,,,,,,,,255.6836,17409071,2383.7481,,TRUE,micro,interpolation
CHL,2000,Latin America & Caribbean,LAC,Chile,CHL,2000,national,,,,income,,,2.21,0.061,0.0231,0.014,0.0285,13.9555,8.1584,0.4963,0.5277,0.4676,0.0131,0.0252,0.034,0.0427,0.0528,0.0652,0.081,0.106,0.1543,0.4258,,478.9957,15342350,8685.3218,4797.3051,FALSE,micro,survey
MRT,2000,Sub-Saharan Africa,SSA,Mauritania,MRT,2000,national,,,,consumption,,,2.452,0.2736,0.0833,0.0353,0.1119,4.8746,,,,,,,,,,,,,,,,124.4526,2630217,1296.3218,828.9759,TRUE,micro,interpolation
WSM,2000,East Asia & Pacific,EAP,Samoa,WSM,2000,national,,,,consumption,,,2.456,0.058,0.0107,0.0033,0.013,9.2922,7.2442,0.2767,0.4074,0.3431,0.0247,0.0379,0.0482,0.0577,0.0666,0.0783,0.0931,0.1147,0.1537,0.3251,,1.8513,174454,3371.9587,,TRUE,micro,extrapolation
DJI,2000,Middle East & North Africa,MNA,Djibouti,DJI,2000,national,,,,consumption,,,2.048,0.212,0.0626,0.027,0.0855,4.6828,3.5463,0.2734,0.4,0.3463,0.0231,0.037,0.0478,0.058,0.0691,0.082,0.098,0.1198,0.1574,0.3077,,104.7365,717577,1755.6559,,TRUE,micro,extrapolation
KHM,2000,"","","","",,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",""
IRN,2000,Middle East & North Africa,MNA,"Iran, Islamic Rep.",IRN,2000,national,,,,consumption,,,2.043,0.0276,0.0049,0.0014,0.0059,11.6283,,,,,,,,,,,,,,,,13944.9043,65623397,3851.2807,1689.3768,TRUE,mixed,interpolation
SLV,2000,Latin America & Caribbean,LAC,El Salvador,SLV,2000,national,,,,income,,,2.518,0.1617,0.0676,0.0398,0.1093,10.6291,6.7117,0.5049,0.5147,0.4822,0.0098,0.0224,0.0334,0.0445,0.0565,0.0706,0.0889,0.1164,0.1678,0.3898,,0.515,5887930,2992.9008,2656.6815,FALSE,micro,survey
ALB,2000,Europe & Central Asia,ECA,Albania,ALB,2000,national,,,,consumption,,,2.528,0.0401,0.0068,0.002,0.0082,7.0935,,,,,,,,,,,,,,,,50.3574,3089027,1960.8819,1493.5567,TRUE,micro,interpolation
GUY,2000,Latin America & Caribbean,LAC,Guyana,GUY,2000,national,,,,income,,,3.091,0.1785,0.0836,0.0563,0.1924,8.5758,6.0427,0.4373,0.4512,0.3793,0.0109,0.0312,0.0436,0.0545,0.0657,0.0794,0.0957,0.1173,0.1572,0.3445,,115.6263,746718,3850.8178,,TRUE,micro,extrapolation
DOM,2000,Latin America & Caribbean,LAC,Dominican Republic,DOM,2000,national,,,,income,,,2.925,0.1121,0.0416,0.0219,0.0586,13.9435,8.4675,0.4801,0.5152,0.4848,0.0124,0.0248,0.034,0.0433,0.0544,0.0686,0.087,0.1137,0.1597,0.4022,,24.3906,8471317,4209.4119,3001.8227,FALSE,micro,survey
PRY,2000,Latin America & Caribbean,LAC,Paraguay,PRY,2000,national,,,,income,,,2.257,0.1078,0.042,0.023,0.0629,14.2001,,,,,,,,,,,,,,,,2539.9849,5323202,3904.3024,2369.3796,TRUE,micro,interpolation
SOM,2000,"","","","",,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",""
PER,2000,Latin America & Caribbean,LAC,Peru,PER,2000,national,,,,income,,,2.879,0.2665,0.1132,0.0637,0.179,7.718,5.1899,0.4481,0.4907,0.461,0.0117,0.0236,0.035,0.047,0.06,0.0757,0.0938,0.1207,0.1648,0.3677,,1.8936,26459944,3303.5009,2157.8773,FALSE,micro,survey
ECU,2000,Latin America & Caribbean,LAC,Ecuador,ECU,2000,national,,,,income,,,2.043,0.2636,0.1084,0.0637,0.1537,6.5429,3.6239,0.5761,0.5638,0.493,0.0094,0.0211,0.03,0.0395,0.05,0.0622,0.0782,0.1026,0.1479,0.4592,,0.5745,12681123,4209.345,2588.2733,FALSE,micro,survey
GEO,2000,Europe & Central Asia,ECA,Georgia,GEO,2000,national,,,,consumption,,,2.458,0.2843,0.1032,0.0552,0.1643,4.7878,3.6774,0.3014,0.4048,0.3523,0.018,0.0357,0.0475,0.0586,0.0702,0.0838,0.1007,0.123,0.1591,0.3033,,0.9247,4077131,1566.5603,,FALSE,micro,survey
GNQ,2000,"","","","",,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",""
ERI,2000,"","","","",,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",""
IRQ,2000,Middle East & North Africa,MNA,Iraq,IRQ,2000,national,,,,consumption,,,5.77,0.0778,0.0134,0.0038,0.016,12.7708,9.1053,0.1332,0.286,0.2345,0.0395,0.0532,0.0628,0.0712,0.0803,0.0905,0.1026,0.1187,0.1449,0.2363,,586.4968,23497589,4337.4172,,TRUE,micro,extrapolation
MKD,2000,Europe & Central Asia,ECA,North Macedonia,MKD,2000,national,,,,consumption,,,3.285,0.1692,0.0491,0.0189,0.0641,7.5877,6.4688,0.204,0.3426,0.2941,0.0262,0.0397,0.0547,0.0675,0.0789,0.0913,0.1072,0.1247,0.1512,0.2587,,22.1667,2026350,3283.3779,2343.8973,FALSE,micro,survey
SUR,2000,Latin America & Caribbean,LAC,Suriname,SUR,2000,urban,,,,income,,,2.727,0.206,0.1504,0.1331,0.083,13.1983,8.138,0.6591,0.5785,0.5464,0,0.0103,0.025,0.0375,0.0546,0.0671,0.083,0.1174,0.1841,0.4211,,2.9343,312914,6202.4163,,TRUE,micro,extrapolation
PSE,2000,Middle East & North Africa,MNA,West Bank and Gaza,PSE,2000,national,,,,consumption,,,3.371,0.0358,0.0083,0.003,0.0106,12.0515,10.3194,0.1944,0.3404,0.2951,0.03,0.0451,0.0548,0.0656,0.0754,0.0872,0.1026,0.1219,0.1527,0.2648,,2.0663,2922153,2436.003,2268.624,TRUE,micro,extrapolation
MYS,2000,East Asia & Pacific,EAP,Malaysia,MYS,2000,national,,,,income,,,2.954,0.0548,0.011,0.0034,0.0135,16.3611,,,,,,,,,,,,,,,,1.7269,23194252,6392.5809,2609.8998,TRUE,mixed,interpolation
